,existence-full,executive-full,existence-executive-full,property-full,existence-property-full,executive-property-full,existence-executive-property-full,-full,
existence-full,,Greater (1.0),Greater (0.9999999999998865),Less (4.165133620260835e-10),Less (4.194834468934048e-238),Greater (0.9999999999922524),Less (6.281905850722265e-49),Greater (1.0),
executive-full,,,Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (0.0),
existence-executive-full,,,,Less (1.4042456268395927e-27),Less (7.444189552855354e-197),Equal (0.2207220469210619),Less (2.022216127577103e-61),Greater (1.0),
property-full,,,,,Less (9.862797381913573e-93),Greater (1.0),Less (3.890927429863332e-37),Greater (1.0),
existence-property-full,,,,,,Greater (1.0),Less (7.090121579553204e-05),Greater (1.0),
executive-property-full,,,,,,,Less (1.6242252456269948e-62),Greater (1.0),
existence-executive-property-full,,,,,,,,Greater (1.0),
-full,,,,,,,,,
