,existence-full,executive-full,existence-executive-full,property-full,existence-property-full,executive-property-full,existence-executive-property-full,-full,
existence-full,,Greater (1.0),,Equal (0.16469942434946416),Less (9.725889204448447e-34),Greater (0.9999999967603215),,Greater (1.0),
executive-full,,,,Less (0.0),Less (0.0),Less (2.5424756581149303e-38),,Less (0.0),
existence-executive-full,,,,,,,,,
property-full,,,,,Less (6.884821983145747e-41),Greater (0.9999999978282931),,Greater (1.0),
existence-property-full,,,,,,Greater (1.0),,Greater (1.0),
executive-property-full,,,,,,,,Equal (0.05676254231287782),
existence-executive-property-full,,,,,,,,,
-full,,,,,,,,,
