,existence-full,existence-content management,existence-data storage & processing,existence-devops and cloud,existence-soa and middlewares,existence-software development tools,existence-web development,executive-full,executive-content management,executive-data storage & processing,executive-devops and cloud,executive-soa and middlewares,executive-software development tools,executive-web development,property-full,property-content management,property-data storage & processing,property-devops and cloud,property-soa and middlewares,property-software development tools,property-web development,nonarch-full,nonarch-content management,nonarch-data storage & processing,nonarch-devops and cloud,nonarch-soa and middlewares,nonarch-software development tools,nonarch-web development,
executive-software development tools,,,,,,,,,,,,,,Greater (1.0),Less (0.0),Less (5.74246117852962e-209),Less (0.0),Less (2.8716309069288195e-112),Less (5.3052085071388346e-107),Less (9.710508121497398e-66),Less (1.1752083324717933e-86),Less (0.0),Less (0.0),Less (0.0),Less (1.7718866016241252e-86),Less (0.0),Less (0.0),Less (0.0),
executive-web development,,,,,,,,,,,,,,,Less (0.0),Less (0.0),Less (0.0),Less (1.0139609830835442e-231),Less (4.417064578266001e-213),Less (1.5042184321624263e-126),Less (1.082397674057743e-160),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (0.0),
property-full,,,,,,,,,,,,,,,,Less (8.34821852967002e-06),Less (0.0026940805683034167),Greater (0.9999999708689133),Greater (0.9999760404648432),Greater (0.9974316190533261),Equal (0.20766796451685976),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
property-content management,,,,,,,,,,,,,,,,,Greater (0.9961583017415054),Greater (0.9999999999995586),Greater (0.999999999718195),Greater (0.9999996053576148),Greater (0.9998973194202604),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
property-data storage & processing,,,,,,,,,,,,,,,,,,Greater (0.9999999999829781),Greater (0.9999999292865569),Greater (0.9999236916537395),Greater (0.9905770089313115),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
property-devops and cloud,,,,,,,,,,,,,,,,,,,Equal (0.41338742215030044),Equal (0.34340725169557373),Less (0.007932264695475916),Greater (1.0),Equal (0.7563757279931825),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999999999971),
property-soa and middlewares,,,,,,,,,,,,,,,,,,,,Equal (0.7708062954346134),Equal (0.08875583706561493),Greater (1.0),Equal (0.43332208139985284),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
property-software development tools,,,,,,,,,,,,,,,,,,,,,Equal (0.19927035094300083),Greater (0.9999999999999917),Equal (0.34315185318415387),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.999999999999972),Greater (0.9999999999871204),
property-web development,,,,,,,,,,,,,,,,,,,,,,Greater (1.0),Greater (0.9987334709082946),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
nonarch-full,,,,,,,,,,,,,,,,,,,,,,,Less (0.0),Greater (1.0),Greater (1.0),Greater (1.0),Less (8.517524814450115e-17),Less (8.99102411161226e-89),
nonarch-content management,,,,,,,,,,,,,,,,,,,,,,,,Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
nonarch-data storage & processing,,,,,,,,,,,,,,,,,,,,,,,,,Greater (1.0),Greater (0.9999862709702795),Less (6.79145688634789e-175),Less (2.0934317302050713e-301),
nonarch-devops and cloud,,,,,,,,,,,,,,,,,,,,,,,,,,Less (0.0),Less (0.0),Less (0.0),
nonarch-soa and middlewares,,,,,,,,,,,,,,,,,,,,,,,,,,,Less (8.611396126636992e-130),Less (2.909586215862256e-222),
nonarch-software development tools,,,,,,,,,,,,,,,,,,,,,,,,,,,,Less (2.418785221470733e-21),
nonarch-web development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
