,existence-full,existence-content management,existence-data storage & processing,existence-devops and cloud,existence-soa and middlewares,existence-software development tools,existence-web development,executive-full,executive-content management,executive-data storage & processing,executive-devops and cloud,executive-soa and middlewares,executive-software development tools,executive-web development,property-full,property-content management,property-data storage & processing,property-devops and cloud,property-soa and middlewares,property-software development tools,property-web development,nonarch-full,nonarch-content management,nonarch-data storage & processing,nonarch-devops and cloud,nonarch-soa and middlewares,nonarch-software development tools,nonarch-web development,
executive-web development,,,,,,,,,,,,,,,Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (0.0),
property-full,,,,,,,,,,,,,,,,Less (3.673471293373994e-36),Less (0.002338925661143703),Greater (1.0),Greater (0.9999999988677604),Greater (0.999697405574326),Greater (0.9815001364278086),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
property-content management,,,,,,,,,,,,,,,,,Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
property-data storage & processing,,,,,,,,,,,,,,,,,,Greater (1.0),Greater (0.9999999999996807),Greater (0.9999981490392977),Greater (0.9995565298044015),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
property-devops and cloud,,,,,,,,,,,,,,,,,,,Less (0.013156142968856933),Less (0.00016728060044874762),Less (3.7222716761174103e-06),Greater (1.0),Less (1.7905689666558058e-12),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
property-soa and middlewares,,,,,,,,,,,,,,,,,,,,Equal (0.12115561532253444),Less (0.008441259848122136),Greater (1.0),Less (0.0014424035413263252),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
property-software development tools,,,,,,,,,,,,,,,,,,,,,Equal (0.34150931228814585),Greater (1.0),Equal (0.5694658198432669),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
property-web development,,,,,,,,,,,,,,,,,,,,,,Greater (1.0),Equal (0.45056710092961616),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
nonarch-full,,,,,,,,,,,,,,,,,,,,,,,Less (0.0),Greater (1.0),Greater (1.0),Greater (1.0),Equal (0.05368553062489227),Less (1.109722385662317e-88),
nonarch-content management,,,,,,,,,,,,,,,,,,,,,,,,Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
nonarch-data storage & processing,,,,,,,,,,,,,,,,,,,,,,,,,Greater (1.0),Less (2.7697074415077192e-12),Less (9.139877707458005e-127),Less (0.0),
nonarch-devops and cloud,,,,,,,,,,,,,,,,,,,,,,,,,,Less (0.0),Less (0.0),Less (0.0),
nonarch-soa and middlewares,,,,,,,,,,,,,,,,,,,,,,,,,,,Less (1.8282351629482564e-29),Less (2.0555937647735218e-148),
nonarch-software development tools,,,,,,,,,,,,,,,,,,,,,,,,,,,,Less (5.659152078567022e-65),
nonarch-web development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
