values
,existence,executive,property,nonarch
closed,3887,33388,2637,770334
gathering interest,425,431,176,27275
open,1642,2916,1277,117224
gathering impact,6,12,10,9962
resolved,2490,12831,1769,285808
done,160,576,57,20262

stats
,existence,executive,property,nonarch
closed,1118.7887733946816,361.6037468728593,826.3704009495825,20.62298097704799
gathering interest,305.6754779440046,428.3179770500645,16.799489226850397,110.47425739541113
open,922.7644523780716,823.4785833307732,1004.2575531173284,18.08570532408369
gathering impact,54.81203825554765,379.6519475731684,27.44418169549467,470.3851086104714
resolved,148.19557380458843,141.27603740582532,138.82714752255248,350.7524021488566
done,2.801622116550254,73.85128883193495,15.969156723579827,67.65054354513568

pvals
,existence,executive,property,nonarch
closed,0,0,0,0
gathering interest,0,0,0,0
open,0,0,0,0
gathering impact,0,0,0,0
resolved,0,0,0,0
done,0.09416899171084926,0,0,0

expected
,existence,executive,property,nonarch
closed,5384.733230160047,31366.540119099536,3706.147400920841,769788.5792498196
gathering interest,188.1226732944568,1095.8309589326582,129.47908965655645,26893.56727811633
open,817.8255573866027,4763.905110937011,562.8843499504073,116914.38498172598
gathering impact,66.39154648007997,386.7365414822219,45.6952734542339,9491.176638583464
resolved,2012.9996642365627,11725.898392580786,1385.486180054108,287773.61576312856
done,139.92732844225063,815.088876967786,96.30770596385332,20003.67608862611

value/expected
,existence,executive,property,nonarch
closed,0.7218556303270142,1.0644463773570476,0.7115205399938499,1.0007085331802557,
gathering interest,2.2591641536731393,0.393308836994161,1.3592928438625909,1.0141830467464257,
open,2.007763128908667,0.6121028719286251,2.2686720640083697,1.0026482200485631,
gathering impact,0.0903729513485611,0.031028875507880173,0.2188410144873189,1.0496064270369334,
resolved,1.2369599678717986,1.094244515040181,1.2768081165060157,0.9931695761686975,
done,,0.7066714026852863,0.5918529512206793,1.0129138219509948,
