values
,existence,executive,property,nonarch
closed,4596,8128,1209,70151
resolved,2772,7285,765,38107
open,970,1107,317,8607
reopened,15,13,2,219
in progress,35,51,7,136

stats
,existence,executive,property,nonarch
closed,42.17125632099484,648.7546222227838,30.1901010794298,696.9435272079008
resolved,2.6061971828632235,846.9222087395392,0.351262740379783,507.93269583182695
open,196.98923881307672,23.306498576180886,125.56501170076754,64.62421540241978
reopened,0.00014989321928537977,9.002996467755453,0.5501032879371754,7.150595531073799
in progress,35.96964537252756,25.245359198868126,2.275590208637302,69.36201878917774

pvals
,existence,executive,property,nonarch
closed,0,0,0,0
resolved,0.10644674598616867,0,0.5533991923302076,0
open,0,0,0,0
reopened,0.990231672637815,0.0026953731154031116,0.4582754938134753,0.007493909910226515
in progress,0,0,0.1314250843733516,0

expected
,existence,executive,property,nonarch
closed,4881.215513661656,9650.7007723611,1338.4353459015033,68213.64836807574
resolved,2840.4095174819367,5615.802508097334,778.8438114220857,39693.94416299865
open,638.6262768873017,1262.6344987957812,175.1121169338095,8924.627107383109
reopened,14.454862552944107,28.578855576779336,3.9635412341167675,202.00274063615979
in progress,13.293829416161449,26.283365169005897,3.6451845084848986,185.77762090634775

value/expected
,existence,executive,property,nonarch
closed,0.9415687521144297,0.8422186317576021,0.9032935387593772,1.0284012316929665,
resolved,,1.297232228073526,,0.9600204969180679,
open,1.5188851995377193,0.8767382809956363,1.8102687897938132,0.9644100416116721,
reopened,,0.4548817556768318,,1.0841437067156188,
in progress,2.6328004448026188,1.9403908012563273,,0.7320580344204046,
