values
,existence,executive,property,nonarch
closed,568,2845,420,175528
open,134,248,111,11248
resolved,103,737,119,17644
in progress,3,12,2,380

stats
,existence,executive,property,nonarch
closed,146.29813285366177,400.47008366295773,228.16605362700878,743.3872050072122
open,183.79979089916012,5.4063187493123515,159.96450010977819,141.1916252241976
resolved,14.753819467273448,516.0102079437761,70.40342440735829,573.4186444463808
in progress,0.6239649294711314,2.5276414190208345,0.058594730795672775,4.310035648075899

pvals
,existence,executive,property,nonarch
closed,0,0,0,0
open,0,0.020063984224034,0,0
resolved,0,0,0,0
in progress,0.4295776981641447,0.11186731590406063,0.8087309716015911,0.03788816767509713

expected
,existence,executive,property,nonarch
closed,689.7777650855298,3279.8591255675815,556.6028500442642,174834.76025930262
open,45.15296379853595,214.70010756680088,36.43531237208594,11444.711616262577
resolved,71.54250792472227,340.18108347374135,57.72984550361253,18133.546563097923
in progress,1.5267631912118875,7.259683391876327,1.2319920800373152,386.98156133687445

value/expected
,existence,executive,property,nonarch
closed,0.8234536233993714,0.8674153038532322,0.7545775232135431,1.0039651139148142,
open,2.9676900191509654,1.1550995610136727,3.046495083298368,0.9828120076015672,
resolved,1.4397035131669917,2.1664931879049916,2.061325454137122,0.9730032643424448,
in progress,,,,0.9819589302581865,
