values
,existence,executive,existence-executive,property,existence-property,executive-property,existence-executive-property,
closed,435,5642,0,204,22,6,0,94329
resolved,136,1671,0,77,9,3,0,34195
open,101,264,0,47,7,3,0,10366
done,51,66,0,8,0,0,0,4862

stats
,existence,executive,existence-executive,property,existence-property,executive-property,existence-executive-property,
closed,10.721389444052182,219.36809734616156,null,3.944511290450562,0.7784895353170876,0.747553722169761,null,153.44934314064815
resolved,9.210831244267833,14.365860386850711,null,0.06713572171819471,0.0,0.0,null,20.482261785767285
open,51.49928835666694,159.8039234191467,null,23.446785193745818,5.818529865163272,3.456355097475537,null,71.28018211124231
done,31.69074045126545,146.52019189539448,null,0.5834622768368265,null,null,null,98.9595927664727

pvals
,existence,executive,existence-executive,property,existence-property,executive-property,existence-executive-property,
closed,0.001059041167568558,0,2,0.047024510837400016,0.3776034919887651,0.3872518437226369,2,0
resolved,0.0024058742776835165,0,2,0.7955537495972878,1.0,1.0,2,0
open,0,0,2,0,0.015858194342765496,0.06300906677013324,2,0
done,0,0,2,0.44495840995189884,2,2,2,0

expected
,existence,executive,existence-executive,property,existence-property,executive-property,existence-executive-property,
closed,477.11059382048995,5043.64629124482,null,221.7277448460368,25.076352095682736,7.918848030215601,null,94862.52016996275
resolved,171.1023514137334,1808.7624783612232,null,79.51644547028275,8.992931332948643,2.839873052510098,null,34019.7859203693
open,51.1443896553533,540.6591564811415,null,23.768347059749253,2.688086869852594,0.8488695378481876,null,10168.891150396055
done,23.642665110423334,249.9320739128154,null,10.987462623931176,null,null,null,4700.802759271888

value/expected
,existence,executive,existence-executive,property,existence-property,executive-property,existence-executive-property,
closed,0.911738296391017,1.1186351449335081,,0.9200472414566495,,,,0.9943758592012224,
resolved,0.7948458853797147,0.9238360591789593,,,,,,1.0051503580898724,
open,1.9748011596307766,0.4882928492661318,,1.97741979624627,2.604082508830474,,,1.019383514553233,
done,2.1571172184609444,0.2640717494427025,,,,,,1.0342914282906608,
