values
,won't fix,duplicate,fixed,obsolete,not a bug,done
content management,3336,1534,10432,313,109,244
data storage & processing,2750,2769,31188,23,51,5084
devops and cloud,1164,3737,35682,386,128,5060
soa and middlewares,987,488,12514,80,49,6253
software development tools,1478,952,5659,286,64,7109
web development,1155,372,7148,84,21,9802

stats
,won't fix,duplicate,fixed,obsolete,not a bug,done
content management,5471.804598433864,349.51805666558215,2.5944613009448614,358.63679515567355,114.17966503799325,4103.724521263777
data storage & processing,7.413152152543313,15.365558566271355,2367.319359820261,361.93964458587357,43.96223619156134,2776.6133927989063
devops and cloud,1916.2201489497204,394.4294783742834,4497.146948495819,8.128783016829798,0.24376246875330437,4064.7506247165106
soa and middlewares,147.96327046959553,584.5330531784361,112.69032517449511,37.752556044230936,0.47660014682054974,1270.4133318356253
software development tools,188.71258569959846,0.23918566886837306,6070.4338714457135,282.52159478968576,13.118043966812596,6226.067049471487
web development,13.499293368407633,640.4372413544629,6369.484850556975,23.250242941528033,17.968342740730574,12577.75510850837

pvals
,won't fix,duplicate,fixed,obsolete,not a bug,done
content management,0,0,0.10723789571829727,0,0,0
data storage & processing,0.006474878077809763,0,0,0,0,0
devops and cloud,0,0,0,0.0043567981301838275,0.621501770890376,0
soa and middlewares,0,0,0,0,0.4899663597269117,0
software development tools,0,0.6247948871796545,0,0,0,0
web development,0,0,0,0,0,0

expected
,won't fix,duplicate,fixed,obsolete,not a bug,done
content management,1095.1546775526685,992.5909736199532,10339.287808140525,118.07923478304762,42.516584537923286,3380.3707213658818
data storage & processing,2871.283227438782,2602.38108157561,27107.607971430556,309.58085948098,111.47024121243477,8862.676618861638
devops and cloud,3165.647197632673,2869.1772024909933,29886.680070161714,341.31909067391837,122.89817087405594,9771.278268166647
soa and middlewares,1397.1315090446776,1266.2869942141824,13190.232461149213,150.63828229994132,54.24006410458638,4312.470689187398
software development tools,1066.349256424655,966.4832451054003,10067.337602766087,114.97344328700052,41.39828759992681,3291.4581648169296
web development,1274.4341319065436,1155.0805029938608,12031.854086351907,137.40908947511215,49.47665167107281,3933.745537601504

value/expected
,won't fix,duplicate,fixed,obsolete,not a bug,done
content management,3.0461450499895837,1.545450281907705,,2.6507624357075925,2.563705461871611,0.07218143218960572,
data storage & processing,0.95775992201683,1.0640255647430048,1.150525713403775,0.07429399879101076,0.45752121324297296,0.5736416004596376,
devops and cloud,0.36769732295830687,1.3024639944704604,1.1939097924638415,1.1309065638193905,,0.5178442227446043,
soa and middlewares,0.7064474558124346,0.3853786718411629,0.948732331811361,0.5310735012279887,,1.449980869592474,
software development tools,1.3860374460761213,,0.5621148533297564,2.4875309621377286,1.545957664203317,2.1598330113958477,
web development,0.9062845784521865,0.3220554749524477,0.5940896514119292,0.6113132713481394,0.424442626789111,2.491772766261975,
