values
,sub-task,bug,improvement,new feature,wish,task
content management,631,4622,4379,1729,199,2064
data storage & processing,9954,10843,19469,7673,479,8536
devops and cloud,1553,3003,2710,1674,49,2877
soa and middlewares,1550,3937,5087,3190,224,7058
software development tools,1721,3966,2484,1300,143,3924
web development,1520,3788,4823,2244,115,3994

stats
,sub-task,bug,improvement,new feature,wish,task
content management,886.8037269939558,1114.3518278952963,64.47393673529777,5.462099499642516,51.41712950240524,343.06614133646127
data storage & processing,2063.9521163008462,715.8046721831917,1205.5249562873664,1.4919115755708365,4.481359717945934,2367.824720447615
devops and cloud,1.9183236127626295,54.87535534232401,252.73029094191483,6.570570861974274,34.61658049566708,66.68702632810178
soa and middlewares,636.8702338443816,215.09198958301903,302.4832849641267,71.21783359059886,6.812618927360209,2225.7051961293296
software development tools,0.01137472641705948,387.0618819168905,854.0338702770623,181.6421363875032,3.630767970485715,528.5419985253733
web development,202.82896265712492,1.6177471787361346,0.05932437870413695,1.1906936681896212,8.795082569119268,95.31203703750553

pvals
,sub-task,bug,improvement,new feature,wish,task
content management,0,0,0,0.019433283379742237,0,0
data storage & processing,0,0,0,0.2219201048295613,0.03426644886731978,0
devops and cloud,0.1660415820784331,0,0,0.010367869026415419,0,0
soa and middlewares,0,0,0,0,0.009051591496442973,0
software development tools,0.9150647762151705,0,0,0,0.05672063764611661,0
web development,0,0.20340619766923126,0.8075669914675683,0.2751896798494012,0.0030204357399573173,0

expected
,sub-task,bug,improvement,new feature,wish,task
content management,1727.4903828869315,3077.5227395290312,3974.7891425489843,1817.390496734376,123.3703037929175,2903.43693450776
data storage & processing,7221.630010785548,12865.328105338845,16616.275750494337,7597.449967044161,515.7393043321948,12137.576862004913
devops and cloud,1504.5802175085385,2680.4084576667265,3461.894301635808,1582.8798909461323,107.45097069926298,2528.7861615435318
soa and middlewares,2668.5821049793276,4754.076891964767,6140.150638144886,2807.4574570076097,190.5792288333633,4485.153679070047
software development tools,1716.5857900413446,3058.0962160704657,3949.6987237102285,1805.9184193181138,122.59154233327341,2885.1093085265743
web development,2090.13149379831,3723.5675894301635,4809.191443465756,2198.9037689496076,149.26865000898795,3512.9370543471746

value/expected
,sub-task,bug,improvement,new feature,wish,task
content management,0.36526976141279077,1.501857302509267,1.1016936604571181,0.951364059131374,1.6130299908641734,0.7108816366799868,
data storage & processing,1.3783591772402686,0.8428078873091763,1.1716825293670752,,0.9287638075601651,0.7032705207182518,
devops and cloud,,1.1203516357406538,0.7828084175532094,1.0575660285881847,0.45602193894685866,1.137699993677569,
soa and middlewares,0.5808327939799354,0.8281313259056091,0.828481302787211,1.1362594264919446,1.1753641851277445,1.573636157203739,
software development tools,,1.296885290645353,0.6289087279210513,0.7198553301709273,,1.3600871164233244,
web development,0.7272269732837556,,,,0.770422992323408,1.1369403829930633,
