values
,closed,open,resolved,in progress,reopened
content management,16581,1867,2700,83,44
data storage & processing,22906,11685,24117,480,221
devops and cloud,46565,1874,4227,392,22
soa and middlewares,12712,2002,9999,83,28
software development tools,16875,1458,1734,67,41
web development,16107,1808,5096,46,59

stats
,closed,open,resolved,in progress,reopened
content management,1685.0180152585158,56.06973090359034,1596.5505606062782,13.241328218969311,0.0
data storage & processing,26475.813041933994,8114.826166939757,13259.73067080334,83.39071083564605,112.51495352169644
devops and cloud,16031.233295457536,3534.0852771773175,9874.144153420351,35.608064698325585,93.47420222888431
soa and middlewares,2464.281462130971,146.736315735779,4292.704508956562,27.286736753901614,11.365395739279554
software development tools,3340.3318117595654,222.4266410816901,2831.346460443361,21.942338008279144,0.0
web development,224.64477031579727,167.15542625613995,40.06265637454798,62.696108282294794,2.871448637187513

pvals
,closed,open,resolved,in progress,reopened
content management,0,0,0,0,1.0
data storage & processing,0,0,0,0,0
devops and cloud,0,0,0,0,0
soa and middlewares,0,0,0,0,0
software development tools,0,0,0,0,1.0
web development,0,0,0,0,0.09016367954723646

expected
,closed,open,resolved,in progress,reopened
content management,13884.040192392473,2180.8353023345667,5045.091738120359,121.29803000807415,43.734737144527166
data storage & processing,38770.24412643217,6089.8352280326335,14088.077794124203,338.71655298470864,122.12629842628505
devops and cloud,34639.94610633102,5441.068759009109,12587.2371073762,302.6321707557497,109.11585652792019
soa and middlewares,16200.113454098742,2544.632458056559,5886.691295280836,141.53242288697686,51.03036967688566
software development tools,13166.18147504198,2068.077660380723,4784.240931449036,115.02645148826772,41.47348163999227
web development,15085.474645703614,2369.5505921864087,5481.661133649364,131.7943718762229,47.51925658438966

value/expected
,closed,open,resolved,in progress,reopened
content management,1.1942489196397805,0.8560939920595524,0.535173618271198,0.6842650288259021,,
data storage & processing,0.5908139222776652,1.9187711263864402,1.7118730001660425,1.4171140907355348,1.8096020500727346,
devops and cloud,1.3442572877297139,0.3444176287787402,0.3358163482534981,1.29530181481062,0.20162055910151533,
soa and middlewares,0.7846858626032508,0.786754092388262,1.6985772649596667,0.5864380634978678,0.5486928700946228,
software development tools,1.2816927999958465,0.7050025383145376,0.3624399408068296,0.5824747189287479,,
web development,1.0677158245456546,0.7630138837135947,0.9296452071285527,0.3490285612742382,,
