values
,Independent,Child,Parent
content management,25221,762,324
data storage & processing,48908,9973,3225
devops and cloud,56670,1547,799
soa and middlewares,23214,1625,748
software development tools,20013,1720,506
web development,23000,1757,535

stats
,Independent,Child,Parent
content management,1338.8042372356406,1021.7735110110754,264.9733445869514
data storage & processing,10166.725701121073,7957.032502276929,1855.0309701470067
devops and cloud,3783.862114399208,3070.4550468513958,607.3199378042366
soa and middlewares,58.584785783077045,93.24304856460421,2.0607293925279278
software development tools,11.074718724061595,0.7242114001711684,23.325223573907437
web development,76.83051101777077,34.27752744587816,46.751137839798496

pvals
,Independent,Child,Parent
content management,0,0,0
data storage & processing,0,0,0
devops and cloud,0,0,0
soa and middlewares,0,0,0.15113781070116145
software development tools,0,0.3947659584091062,0
web development,0,0,0

expected
,Independent,Child,Parent
content management,23501.398713199455,2073.575646007427,732.0256407931189
data storage & processing,55482.49015402613,4895.331625458519,1728.178220515355
devops and cloud,52722.03392474166,4651.7710238633945,1642.1950513949407
soa and middlewares,22858.18561123026,2016.823661169728,711.9907276000127
software development tools,19867.244687073504,1752.9269316744276,618.8283812520688
web development,22594.646909728992,1993.5711118265042,703.7819784445039

value/expected
,Independent,Child,Parent
content management,1.0731701677753647,0.36748116784029333,0.44260744698636467,
data storage & processing,0.8815033331096974,2.037247067825744,1.8661269779446024,
devops and cloud,1.074882658755045,0.33256151088777874,0.4865439092154736,
soa and middlewares,1.0155661693723814,0.8057223996754996,,
software development tools,1.0073364633708535,,0.8176741974506981,
web development,1.0179402268108233,0.8813329956362789,0.7601786013083979,
