values
,False,True
content management,5934,13
data storage & processing,19878,74
devops and cloud,17288,3
soa and middlewares,7729,3
software development tools,5787,1
web development,9373,1

stats
,False,True
content management,2.009209926019702,2.0092099260197025
data storage & processing,100.46263214602419,100.46263214602419
devops and cloud,24.88820691614353,24.888206916143528
soa and middlewares,5.917172661741845,5.917172661741845
software development tools,6.136557160227628,6.136557160227628
web development,12.419755769460108,12.419755769460108

pvals
,False,True
content management,0.15634672144059739,0.1563467214405973
data storage & processing,0,0
devops and cloud,0,0
soa and middlewares,0.014994000756797984,0.014994000756797984
software development tools,0.013241488227789623,0.013241488227789623
web development,0,0

expected
,False,True
content management,5938.450805036015,8.549194963985231
data storage & processing,19923.317716845228,28.682283154772712
devops and cloud,17266.143075479693,24.856924520307487
soa and middlewares,7720.884752738938,11.115247261061679
software development tools,5779.679377761637,8.320622238363296
web development,9360.524272138491,13.475727861509593

value/expected
,False,True
content management,,,
data storage & processing,0.9977253930550477,2.579989870425864,
devops and cloud,1.0012658834358523,0.12069071527932085,
soa and middlewares,1.0010510773727304,0.26989952895689817,
software development tools,1.0012666139001638,0.12018331939039027,
web development,1.0013328022553867,0.07420749441343918,
