values
,Independent,Child,Parent
content management,5684,174,89
data storage & processing,16082,2580,1290
devops and cloud,16911,202,178
soa and middlewares,6979,530,223
software development tools,5490,189,109
web development,8525,664,185

stats
,Independent,Child,Parent
content management,207.40545923777825,140.49396718433673,57.36018856657519
data storage & processing,3062.4705082894607,1886.065350647962,1039.1792579520477
devops and cloud,1504.8166661327289,1110.9737109998769,341.7065735370993
soa and middlewares,0.007815417126464197,1.1373301696115046,1.769415553231426
software development tools,149.68292926279864,112.05289029887192,32.42768750583314
web development,5.138319033114236,4.671390684762003,48.314584204534285

pvals
,Independent,Child,Parent
content management,0,0,0
data storage & processing,0,0,0
devops and cloud,0,0,0
soa and middlewares,0.9295549083436179,0.2862171837408857,0.18345442546574292
software development tools,0,0,0
web development,0.0234032982238095,0.03066908361184229,0

expected
,Independent,Child,Parent
content management,5369.884344168028,390.47323103928335,186.6424247926881
data storage & processing,18015.794927667816,1310.0255432479873,626.1795290841959
devops and cloud,15613.026768960717,1135.3073209854126,542.6659100538708
soa and middlewares,6981.6623085769625,507.67429332364867,242.66339809938864
software development tools,5226.314206161855,380.03347255008777,181.65232128805764
web development,8464.317444464621,615.4861388535803,294.19641668179895

value/expected
,Independent,Child,Parent
content management,1.0584957953839578,0.4456131334198805,0.4768476411451265,
data storage & processing,0.8926611378830704,1.9694272476575725,2.060112060652412,
devops and cloud,1.0831339912655311,0.17792539188831274,0.32801028533804494,
soa and middlewares,,,,
software development tools,1.0504534904402147,0.4973246138867153,0.6000473829737181,
web development,1.0071692201921212,1.0788220206498602,0.62883158838775,
