values
,closed,open,resolved,reopened,in progress
content management,3783,478,947,17,17
data storage & processing,7688,3413,7851,75,180
devops and cloud,13236,459,2452,7,76
soa and middlewares,3837,501,3133,5,27
software development tools,4607,303,452,11,17
web development,6309,422,1896,13,20

stats
,closed,open,resolved,reopened,in progress
content management,188.8712082674914,0.1559965931015724,226.0065507603092,3.3183895279112057,4.583988543039466
data storage & processing,6544.017079875213,2641.5648301810133,2765.432378704988,44.92985336116213,79.68060773021982
devops and cloud,3114.448091392659,1011.0473705043315,1548.4121875066107,27.203093834347314,2.007399939919696
soa and middlewares,552.8416483819492,54.18075396418714,959.0706959109388,7.283841479452199,4.851311986161332
software development tools,1237.2376812944103,80.18215694619795,1026.3083602606798,0.0,5.152060384817369
web development,386.2526942820027,205.4200322404168,127.19462975876615,1.2151368437678756,17.35281820563788

pvals
,closed,open,resolved,reopened,in progress
content management,0,0.6928694266480462,0,0.06850890902517813,0.03227201278373331
data storage & processing,0,0,0,0,0
devops and cloud,0,0,0,0,0.1565333906307799
soa and middlewares,0,0,0,0.006957758732042219,0.027625112262522386
software development tools,0,0,0,1.0,0.023218806725218515
web development,0,0,0,0.27031716413211676,0

expected
,closed,open,resolved,reopened,in progress
content management,3323.8417534387454,469.6842781848567,1409.305534130351,10.781848566653812,28.38658567939324
data storage & processing,12178.754017225865,1720.9511505334876,5163.779357886618,39.505334875948066,104.01013947808201
devops and cloud,10291.101041264945,1454.21133821828,4363.416409564212,33.38218279984574,87.88902815271886
soa and middlewares,4757.494215194755,672.2703432317778,2017.1727246432704,15.432317778634786,40.630399151561896
software development tools,3417.6854351459056,482.9451086257874,1449.0951600462784,11.086257873762694,29.188038308265845
web development,5491.123537729785,775.9377812058106,2328.230813729271,17.812058105154904,46.89580922997815

value/expected
,closed,open,resolved,reopened,in progress
content management,1.1381408263754504,,0.6719621665179731,,0.5988744187836884,
data storage & processing,0.631263262984534,1.9832056237865812,1.520398037148741,1.898477768521893,1.7306005059048237,
devops and cloud,1.2861597555914268,0.31563500293043595,0.5619449921454756,0.20969269870609983,,
soa and middlewares,0.8065170079965986,0.745235908506038,1.5531639713966783,0.3239954018392643,0.6645270675112744,
software development tools,1.3479883059522477,0.6274004945658973,0.3119187838468558,,0.5824303716630974,
web development,1.1489451943032323,0.5438580389064317,0.8143522492785239,,0.4264773404787522,
