values
,won't fix,duplicate,not a bug,fixed,done,obsolete
content management,527,336,13,3305,69,57
data storage & processing,927,1003,14,9985,1763,9
devops and cloud,271,1023,23,11954,1259,40
soa and middlewares,233,157,10,4007,1947,21
software development tools,281,186,14,1947,1936,39
web development,255,125,9,2153,4618,46

stats
,won't fix,duplicate,not a bug,fixed,done,obsolete
content management,533.8230687391028,42.834554791361505,4.565893379182943,242.92245728193376,1210.2505694193255,89.82556706287268
data storage & processing,134.17624739716962,105.21215312084703,3.9007835813840823,400.0888386926027,1075.3057423010134,55.122966101982726
devops and cloud,411.15655655486245,78.19326269476286,0.01024845208606934,2357.5000151602094,2362.682955577762,9.790181630677525
soa and middlewares,25.083342418563564,134.9520043165279,0.0,31.17930114485175,238.89074143828745,1.1756903392330418
software development tools,21.27108704936593,16.91618421762042,5.972097619885373,1014.2509057366234,1207.4026015109566,23.92627284577242
web development,34.471216588637134,236.41751031025802,0.5356488313191081,4871.182366285889,8054.079434568539,9.05713693451166

pvals
,won't fix,duplicate,not a bug,fixed,done,obsolete
content management,0,0,0.032614659341235155,0,0,0
data storage & processing,0,0,0.048263592220660574,0,0,0
devops and cloud,0,0,0.919364200194529,0,0,0.0017544613217918296
soa and middlewares,0,0,1.0,0,0,0.2782351063825279
software development tools,0,0,0.01453398206729339,0,0,0
web development,0,0,0.46424160718411744,0,0,0.0026167139747174314

expected
,won't fix,duplicate,not a bug,fixed,done,obsolete
content management,212.44527510778846,241.0666112891104,7.070151497171789,2840.923163640679,987.436098255607,18.058700209643607
data storage & processing,675.809778094221,766.8571259048297,22.490862703215853,9037.262192951228,3141.133499466002,57.44654088050314
devops and cloud,718.6737075273921,815.4958269055812,23.917368774969344,9610.459831494007,3340.363118547526,61.090146750524106
soa and middlewares,314.45057553103123,356.81440607570903,10.464874807167439,4204.98843004628,1461.5521537913849,26.729559748427672
software development tools,217.18053083343221,246.43981646295637,7.22774020015031,2904.2453423519637,1009.4453542185831,18.461215932914047
web development,355.44013290613503,403.32621336181325,11.829002017325264,4753.121039515842,1652.069775720897,30.21383647798742

value/expected
,won't fix,duplicate,not a bug,fixed,done,obsolete
content management,2.480638836202009,1.3938056299179329,1.8387159037822989,1.1633542372066834,0.06987793956681813,3.1563733457162755,
data storage & processing,1.3716877589639702,1.3079359454559945,0.6224750106183438,1.1048700133750657,0.5612623596863084,0.15666739654039852,
devops and cloud,0.3770835041849237,1.254451544996617,,1.2438530735882256,0.37690513136411496,0.6547700754975978,
soa and middlewares,0.7409749516486626,0.44000465599667427,,0.9529158204974892,1.3321454146876142,,
software development tools,1.293854467164529,0.7547481680094442,1.936981630815791,0.6703979073693713,1.9178848977899032,2.1125369066545536,
web development,0.7174203934572032,0.3099228263843734,,0.4529655319316898,2.7952814511026873,1.52248126561199,
