,existence-full,existence-content management,existence-data storage & processing,existence-devops and cloud,existence-soa and middlewares,existence-software development tools,existence-web development,executive-full,executive-content management,executive-data storage & processing,executive-devops and cloud,executive-soa and middlewares,executive-software development tools,executive-web development,property-full,property-content management,property-data storage & processing,property-devops and cloud,property-soa and middlewares,property-software development tools,property-web development,nonarch-full,nonarch-content management,nonarch-data storage & processing,nonarch-devops and cloud,nonarch-soa and middlewares,nonarch-software development tools,nonarch-web development,
existence-full,,Less (3.972483403129258e-09),Less (5.374387289935407e-19),Greater (0.9999999989564983),Greater (1.0),Greater (0.9999901898885711),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Less (5.0154293527577955e-06),Less (0.0004403232547113351),Less (9.161360844464365e-27),Greater (0.9966805397925718),Greater (0.9999999999996706),Greater (0.9958018355946672),Greater (0.9999999217495775),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
existence-content management,,,Equal (0.7608684399461841),Greater (1.0),Greater (1.0),Greater (0.9999999999991749),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999355981902758),Greater (0.9843470823666649),Equal (0.4712453271917366),Greater (0.9999999999981519),Greater (1.0),Greater (0.9999999809389263),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
existence-data storage & processing,,,,Greater (1.0),Greater (1.0),Greater (0.9999999999995663),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999998964755834),Equal (0.07811403374879977),Equal (0.1146412713072475),Greater (0.9999999999968752),Greater (1.0),Greater (0.9999999043754928),Greater (0.9999999999999999),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
existence-devops and cloud,,,,,Greater (0.999999815963121),Equal (0.37620488897873017),Greater (0.9994212752112148),Greater (1.0),Greater (0.9999999999999972),Greater (0.9999999999994743),Less (0.004057382444128739),Greater (1.0),Greater (1.0),Greater (1.0),Less (1.2625859268419913e-18),Less (7.388005229964019e-16),Less (5.448100323263053e-36),Less (0.020716157065624935),Greater (0.9972063496576115),Equal (0.741192814605468),Equal (0.11342704853857648),Greater (0.9999988180414843),Less (0.008542773239239805),Equal (0.40597744040813544),Equal (0.2707769912317838),Greater (1.0),Greater (1.0),Greater (1.0),
existence-soa and middlewares,,,,,,Less (0.0030638538497639637),Equal (0.1752906398263513),Equal (0.47679337236523167),Equal (0.3277849684837236),Equal (0.9993883308167494),Less (3.6375885086960846e-23),Greater (1.0),Greater (1.0),Greater (1.0),Less (3.31732683953875e-44),Less (5.898066786962348e-32),Less (6.276937793710709e-63),Less (7.778372189514004e-11),Equal (0.0919881466590759),Less (0.0002904603442276003),Less (0.009935868338108294),Less (0.007466614656106847),Less (5.029023127083113e-20),Less (9.568499024371112e-09),Less (3.1890181768004944e-10),Greater (0.9999999999997952),Greater (0.999886413725558),Greater (0.999999999716383),
existence-software development tools,,,,,,,Equal (0.09781058638652403),Greater (0.9998728306018319),Greater (0.9999032723469921),Greater (0.9984634057083),Less (0.005343146738527983),Greater (1.0),Greater (1.0),Greater (1.0),Less (1.6171527760597284e-09),Less (4.945976588736608e-10),Less (7.052483887114597e-17),Less (0.010421518418205693),Equal (0.19968729013987796),Equal (0.3818180131680179),Equal (0.5707742135198648),Equal (0.08873293172221117),Less (0.01201062328028628),Equal (0.6719385391795372),Equal (0.6949205174929938),Greater (0.9999999999999803),Greater (0.999999978426312),Greater (0.9999999999990091),
existence-web development,,,,,,,,Greater (0.9939086745232548),Greater (0.9940847756995569),Equal (0.1678134933447858),Less (6.777047391676623e-11),Greater (1.0),Greater (1.0),Greater (1.0),Less (8.335467710807464e-28),Less (1.634172621811074e-22),Less (5.555403270040265e-43),Less (1.2651564978354447e-06),Equal (0.7045514442019785),Less (0.007683166253877407),Equal (0.24255056997933366),Equal (0.7349514180739121),Less (2.818667217104057e-10),Less (0.0005583820103465527),Less (0.0002830939135000365),Greater (0.9999999999999999),Greater (0.9999997802351533),Greater (0.9999999999998541),
executive-full,,,,,,,,,Equal (0.25334013529245125),Equal (0.17277234438876354),Less (0.0),Greater (1.0),Greater (1.0),Greater (1.0),Less (0.0),Less (1.4349502382813599e-64),Less (1.2428553319950993e-301),Less (7.704147677419531e-20),Less (0.0039305926029158415),Less (6.3547892921271916e-06),Less (0.0004355037874034086),Less (3.49420959006419e-112),Less (0.0),Less (0.0),Less (0.0),Greater (1.0),Greater (1.0),Greater (1.0),
executive-content management,,,,,,,,,,Equal (0.05621879613706469),Less (1.1225965898469681e-109),Greater (1.0),Greater (1.0),Greater (1.0),Less (1.2025570010332722e-142),Less (1.7871736929484965e-53),Less (6.973681477376114e-168),Less (1.3803133984854239e-18),Less (0.0025146711901444163),Less (7.51800991793411e-06),Less (0.00034626557192671725),Less (1.3922498287502558e-13),Less (3.704128024700599e-97),Less (3.2621915696148138e-43),Less (3.1219912128405785e-54),Greater (1.0),Greater (0.9999999628973956),Greater (1.0),
executive-data storage & processing,,,,,,,,,,,Less (1.3240983759987285e-185),Greater (1.0),Greater (1.0),Greater (1.0),Less (3.4038412353835515e-182),Less (1.69954781282845e-46),Less (4.919803849913369e-191),Less (6.711829515605292e-16),Less (0.024520216973470333),Less (0.00011791973244051863),Less (0.004349842948574638),Less (1.9067698029164684e-17),Less (6.974541999679126e-202),Less (1.241172784287534e-78),Less (3.1758026866170115e-107),Greater (1.0),Greater (1.0),Greater (1.0),
