,existence-full,executive-full,existence-executive-full,property-full,existence-property-full,executive-property-full,existence-executive-property-full,-full,
existence-full,,Greater (1.0),Less (1.3477129573895818e-09),Less (1.3643632861357808e-15),Less (7.891590931524293e-67),Equal (0.2712324783775045),Less (1.3907706698055096e-10),Greater (1.0),
executive-full,,,Less (3.372169244833073e-190),Less (6.506723108865208e-180),Less (0.0),Less (3.9422348391838264e-52),Less (2.2329922322098457e-50),Less (1.2734148864967803e-58),
existence-executive-full,,,,Less (0.0029507099127733865),Less (4.228031115562154e-25),Greater (0.9959278536902431),Less (1.012712254702557e-06),Greater (1.0),
property-full,,,,,Less (1.4404570467846907e-11),Greater (0.9999814091643472),Less (0.0022295995606478602),Greater (1.0),
existence-property-full,,,,,,Greater (1.0),Equal (0.5871731257394177),Greater (1.0),
executive-property-full,,,,,,,Less (2.7741755796074845e-08),Greater (1.0),
existence-executive-property-full,,,,,,,,Greater (1.0),
-full,,,,,,,,,
