,existence-full,executive-full,existence-executive-full,property-full,existence-property-full,executive-property-full,existence-executive-property-full,-full,
existence-full,,Greater (1.0),,Less (4.779282050151182e-06),Less (2.93779547224817e-14),Equal (0.46405206449723313),,Greater (1.0),
executive-full,,,,Less (1.881131213618572e-245),Less (6.651051838257583e-94),Less (5.73425592512152e-07),,Less (1.6647311046472223e-114),
existence-executive-full,,,,,,,,,
property-full,,,,,Less (3.128318836730153e-08),Greater (0.9766772659768793),,Greater (1.0),
existence-property-full,,,,,,Greater (0.9999819955466921),,Greater (1.0),
executive-property-full,,,,,,,,Greater (0.9996029617601097),
existence-executive-property-full,,,,,,,,,
-full,,,,,,,,,
