,existence-full,executive-full,existence-executive-full,property-full,existence-property-full,executive-property-full,existence-executive-property-full,-full,
existence-full,,Greater (1.0),Greater (0.9999986378590108),Less (1.2325795456803931e-14),Less (0.0015362461324611683),Equal (0.5980914373132309),Equal (0.3101225942480704),Less (5.575366467742759e-08),
executive-full,,,Less (5.389996986735052e-09),Less (3.223670987031342e-113),Less (3.5117788048934428e-68),Less (3.0926537071025007e-20),Less (9.288525481767925e-10),Less (0.0),
existence-executive-full,,,,Less (1.292786867357795e-19),Less (1.7347739458091203e-09),Less (0.00023417311704086963),Less (0.0015333539258698009),Less (1.0823123804424684e-11),
property-full,,,,,Greater (0.9998344364802444),Greater (0.9998808918216396),Equal (0.11467941570805618),Greater (0.9999999981543515),
existence-property-full,,,,,,Equal (0.25772139730048216),Equal (0.9867450766917167),Equal (0.41117245278478065),
executive-property-full,,,,,,,Equal (0.5335546365800542),Equal (0.398975266019406),
existence-executive-property-full,,,,,,,,Equal (0.8058548533307895),
-full,,,,,,,,,
