,existence-full,executive-full,property-full,nonarch-full,
existence-full,,Greater (1.0),Less (2.0106405981348094e-11),Less (1.0881235603071689e-10),
executive-full,,,Less (1.5418933165666868e-143),Less (0.0),
property-full,,,,Greater (0.999906311977431),
nonarch-full,,,,,
