,existence-full,executive-full,property-full,nonarch-full,
existence-full,,Greater (1.0),Less (3.7714332855060738e-06),Less (0.023286512054746394),
executive-full,,,Less (2.4618578849574204e-79),Less (8.311890733489361e-179),
property-full,,,,Greater (0.9999914642312278),
nonarch-full,,,,,
