values
,existence,executive,property,nonarch
done,107,1799,33,35977
fixed,83,1788,95,49802
won't fix,38,220,24,11629
duplicate,23,146,19,8997
obsolete,9,29,1,3045
not a bug,0,14,0,923

stats
,existence,executive,property,nonarch
done,7.4159082913291074,268.6252815508609,14.300111703913007,240.65034686148735
fixed,17.727830606945574,0.18925807235371514,6.747660896347148,0.8680399960265686
won't fix,4.591466795983987,105.04525796265574,2.002012097071397,79.06793868857945
duplicate,0.15098243398691197,105.68159753897105,1.7762710956200578,87.69973769898962
obsolete,0.33862495185538005,60.10547978189499,2.168967269915238,56.722615458380695
not a bug,null,10.510178362939554,null,13.589383112469006

pvals
,existence,executive,property,nonarch
done,0.006464966915381936,0,0,0
fixed,0,0.6635348360429125,0.009387067051499198,0.3514984926334772
won't fix,0.03213150531979105,0,0.1570905553626065,0
duplicate,0.6975982716438991,0,0.18260788187303578,0
obsolete,0.5606240030885092,0,0.14082077524085648,0
not a bug,2,0.0011871879559467147,2,0

expected
,existence,executive,property,nonarch
done,85.87172585604655,1319.7823712337001,56.807449412461565,36453.53845349779
fixed,117.24357801761309,1801.9436067630072,77.56113622703634,49771.25167899235
won't fix,26.97589742249632,414.59879269344344,17.845593679497565,11451.579716204562
duplicate,20.802083605543505,319.7120234144302,13.761378385205704,8830.72451459482
obsolete,6.984608148012648,107.34805445945592,4.62058692868529,2965.046750463846
not a bug,null,32.6151514359631,null,900.8588862466355

value/expected
,existence,executive,property,nonarch
done,1.2460445965575726,1.3631035231349082,0.5809097282364688,0.9869275117392049,
fixed,0.7079279002175386,,1.2248402308330908,,
won't fix,1.4086649057432368,0.5306334795882273,,1.0154930837659348,
duplicate,,0.45666096145138063,,1.0188292008351492,
obsolete,,0.2701492835247699,,1.0269652576383985,
not a bug,,0.4292483518737521,,1.024577782482242,
