values
,existence,executive,existence-executive,property,existence-property,executive-property,existence-executive-property,
content management,1023,4142,0,687,74,21,0,237913
data storage & processing,3805,12663,0,2726,693,65,0,396308
devops and cloud,1230,15349,0,580,91,41,0,194468
soa and middlewares,967,6174,0,499,74,18,0,138201
software development tools,470,5008,0,259,33,18,0,160800
web development,738,8238,0,346,39,13,0,152010

stats
,existence,executive,existence-executive,property,existence-property,executive-property,existence-executive-property,
content management,180.67362871475027,3678.599802849805,null,73.98639666931687,77.53214244882952,4.135967435165507,null,3896.2626334803895
data storage & processing,905.2705917608686,1020.7264544206586,null,1216.9463690142284,680.6795347633399,2.6930230931105044,null,17.719187111972055
devops and cloud,3.889645700861314,7956.154645494905,null,72.88130096432148,33.22383093500318,7.028869331426935,null,5701.266326815779
soa and middlewares,6.872990166122926,70.38898703385958,null,5.766276236176291,12.17986351693356,0.020111195532425588,null,52.64596200748971
software development tools,339.1371981355697,351.75508825082466,null,250.50387085941298,75.73454542533055,0.5657791795761051,null,839.2868978953887
web development,71.67251002805145,805.0840688365514,null,130.7702054480182,61.809680496415105,3.1146079186456777,null,316.5153882177874

pvals
,existence,executive,existence-executive,property,existence-property,executive-property,existence-executive-property,
content management,0,0,2,0,0,0.04198106478054102,2,0
data storage & processing,0,0,2,0,0,0.10078842846567523,2,0
devops and cloud,0.04858467186392571,0,2,0,0,0.00802059777198147,2,0
soa and middlewares,0.00875081124273423,0,2,0.01633661565403138,0,0.8872269673886524,2,0
software development tools,0,0,2,0,0,0.45194104982009686,2,0
web development,0,0,2,0,0,0.07759315125991947,2,0

expected
,existence,executive,existence-executive,property,existence-property,executive-property,existence-executive-property,
content management,1491.8436985430053,9345.359760555928,null,923.5913192607431,181.9277387753161,31.89171516380043,null,231885.3857677012
data storage & processing,2546.522012447763,15952.183441027684,null,1576.5362197796971,310.54392086694446,54.43797815994246,null,395819.776427718
devops and cloud,1295.4618623791039,8115.164592534909,null,802.0125242981043,157.97931614583024,27.693585300464264,null,201360.6881193416
soa and middlewares,892.7631692753072,5592.538284003971,null,552.7042237090053,108.87091241982368,19.084940822598575,null,138767.0384697693
software development tools,1019.1226853640703,6384.0924784363615,null,630.9326281186283,124.28023516403822,21.786176682142155,null,158407.78579623476
web development,987.2865719907504,6184.661443441147,null,611.2230848338218,120.3978766280473,21.105603871052114,null,153459.3254192352

value/expected
,existence,executive,existence-executive,property,existence-property,executive-property,existence-executive-property,
content management,0.6857286731841299,0.44321461197055134,,0.7438354883520186,0.4067549044370374,0.6584782252111868,,1.0259939375322995,
data storage & processing,1.4941948199939437,0.7938098284045444,,1.7291071183768472,2.231568398007451,,,1.0012334491638801,
devops and cloud,0.9494683214688514,1.8913972507864414,,0.7231807265199474,0.5760247747622744,1.4804872520176238,,0.9657694449511591,
soa and middlewares,1.08315400240464,1.103970985350096,,0.9028337012722375,0.6797040490911305,,,0.9959209443682651,
software development tools,0.4611809812006076,0.7844497893656133,,0.4105034174129012,0.26552894719295556,,,1.0151016201112895,
web development,0.7475033297697015,1.3320050055021888,,0.5660780958462488,0.32392597853270405,,,0.9905556380149868,
