values
,existence,executive,property,nonarch
content management,1097,4163,782,237913
data storage & processing,4498,12728,3484,396308
devops and cloud,1321,15390,712,194468
soa and middlewares,1041,6192,591,138201
software development tools,503,5026,310,160800
web development,777,8251,398,152010

stats
,existence,executive,property,nonarch
content management,243.3917897866465,3676.7754613181537,135.5132753986422,3977.63646433321
data storage & processing,1367.8747115710808,1019.6363756979634,1776.2420951413449,0.956970873715079
devops and cloud,14.235328664131355,7965.26996377282,91.26686995570489,5524.650459575093
soa and middlewares,1.725251099887047,70.24349108522566,13.11436517724609,45.71264449590861
software development tools,410.8980591251535,350.83414915124337,320.6907449961147,889.2298547962216
web development,112.24174853568206,799.1652289326823,189.939433846229,275.9058264970414

pvals
,existence,executive,property,nonarch
content management,0,0,0,0
data storage & processing,0,0,0,0.32795124576291046
devops and cloud,0,0,0,0
soa and middlewares,0.18901851396150351,0,0,0
software development tools,0,0,0,0
web development,0,0,0,0

expected
,existence,executive,property,nonarch
content management,1672.9566157670138,9372.686463780768,1136.8570615101814,231772.49985894203
data storage & processing,2859.7611116555454,16021.721070496316,1943.3496262706353,396193.1681915775
devops and cloud,1453.0731088581433,8140.796079182517,987.4353041358195,201309.69550782352
soa and middlewares,1001.3875092430087,5610.24181047155,680.4925187310129,138732.87816155443
software development tools,1142.7509888905718,6402.226228763352,776.5560200569578,158317.4667622891
web development,1107.0706655857173,6202.328347305496,752.3094692953932,153374.2915178134

value/expected
,existence,executive,property,nonarch
content management,0.6557253126956013,0.4441629426191989,0.6878613208957022,1.0264936528052082,
data storage & processing,1.572858649510085,0.7944215196355129,1.7927808526589903,,
devops and cloud,0.9091077330844494,1.89047850484242,0.7210598983222763,0.9660140785044423,
soa and middlewares,,1.103695742390746,0.8684886074899116,0.9961661707837196,
software development tools,0.44016588468528256,0.785039425414184,0.399198502095525,1.015680728655407,
web development,0.7018522160813583,1.3303068683205908,0.5290376051929314,0.9911048226902164,
