,existence-full,executive-full,existence-executive-full,property-full,existence-property-full,executive-property-full,existence-executive-property-full,-full,
existence-full,,Greater (1.0),Less (3.762019222913223e-16),Less (2.2501858466990585e-42),Less (5.115568076933876e-123),Less (1.2948391741583152e-28),Less (1.3495587382606999e-20),Greater (1.0),
executive-full,,,Less (1.3584098098500759e-163),Less (1.0839592453819214e-220),Less (0.0),Less (1.8327163713906484e-128),Less (2.0133979890358997e-57),Less (1.1655025743453791e-97),
existence-executive-full,,,,Less (2.9580933921150363e-07),Less (3.4892675376463997e-31),Less (4.2485696146944196e-07),Less (3.335331659686687e-10),Greater (1.0),
property-full,,,,,Less (1.9830706848792423e-11),Equal (0.3962254274801723),Less (6.963770676081175e-05),Greater (1.0),
existence-property-full,,,,,,Greater (0.9999843900848205),Equal (0.3856988244690366),Greater (1.0),
executive-property-full,,,,,,,Less (0.000986175259832252),Greater (1.0),
existence-executive-property-full,,,,,,,,Greater (1.0),
-full,,,,,,,,,
