,existence-full,executive-full,existence-executive-full,property-full,existence-property-full,executive-property-full,existence-executive-property-full,-full,
existence-full,,Greater (1.0),,Equal (0.9940200897929414),Equal (0.11663201712139806),Equal (0.43313884795549573),,Greater (1.0),
executive-full,,,,Less (6.246294193917482e-164),Less (1.8598473139770652e-55),Less (2.9715283637168375e-06),,Less (0.0),
existence-executive-full,,,,,,,,,
property-full,,,,,Equal (0.12712998910685258),Equal (0.4312201955753635),,Greater (1.0),
existence-property-full,,,,,,Equal (0.17542771587067718),,Greater (0.9999999999760317),
executive-property-full,,,,,,,,Equal (0.28441181989918796),
existence-executive-property-full,,,,,,,,,
-full,,,,,,,,,
