,existence-full,executive-full,existence-executive-full,property-full,existence-property-full,executive-property-full,existence-executive-property-full,-full,
existence-full,,Greater (1.0),Greater (0.9999999999999959),Greater (0.9999961109625368),Less (3.5768264243817386e-05),Greater (0.9999999999675662),Equal (0.3070475166175871),Greater (1.0),
executive-full,,,Less (4.641799408772381e-113),Less (1.187785075468435e-168),Less (0.0),Less (7.20376519439798e-45),Less (2.567934395283417e-48),Less (0.0),
existence-executive-full,,,,Less (0.0035331882066542554),Less (2.025881396484459e-20),Equal (0.28671082804573345),Less (2.1724861102457694e-05),Greater (0.9999999930050746),
property-full,,,,,Less (4.8110309788130036e-11),Greater (0.9992132748261955),Less (0.0033692590730826453),Greater (1.0),
existence-property-full,,,,,,Greater (0.9999999999999993),Equal (0.7344307655307887),Greater (1.0),
executive-property-full,,,,,,,Less (4.520520849654973e-06),Greater (0.9932044253915826),
existence-executive-property-full,,,,,,,,Greater (0.9999999999962195),
-full,,,,,,,,,
