values
,existence,executive,property,nonarch
bug,3703,6527,1580,191365
task,2247,6231,599,22862
improvement,9105,9249,4626,71966
sub-task,5734,4097,1253,39957
new feature,4976,3280,1599,12107
wish,176,336,75,1117

stats
,existence,executive,property,nonarch
bug,14304.25130177677,10226.450195081963,4598.8956876915,32216.18331503236
task,22.57099640373851,7542.546860908987,41.09191953144029,3849.264460082872
improvement,2091.609427011045,1048.7093991605084,3218.193274062409,5929.775550789474
sub-task,2266.2161632486277,40.09490716061847,0.6114373377528485,1332.5373098755294
new feature,10218.448984853278,1966.3996951188306,2351.0776707913137,14135.6742402035
wish,43.179660289156864,383.4097518687811,28.23583690341909,421.3670962247618

pvals
,existence,executive,property,nonarch
bug,0,0,0,0
task,0,0,0,0
improvement,0,0,0,0
sub-task,0,0,0.43424713980714247,0
new feature,0,0,0,0
wish,0,0,0,0

expected
,existence,executive,property,nonarch
bug,13021.22622397577,14918.115854306305,4885.03040020555,170350.6275215124
task,2046.9297126494996,2345.119735551564,767.924134131488,26779.02641766745
improvement,6084.967860522226,6971.406068182436,2282.8305469566444,79606.7955243387
sub-task,3271.1524926686216,3747.683284457478,1227.2023460410558,42794.961876832844
new feature,1407.516526791957,1612.5589289640707,528.0425133471849,18413.882030896788
wish,109.20718339192672,125.11612853814664,40.97005931807682,1428.7066287518498

value/expected
,existence,executive,property,nonarch
bug,0.2843818190626108,0.4375217395912566,0.3234370864782167,1.1233595249059698,
task,1.0977416499033248,2.6570071905238946,0.7800249704060428,0.853727825777744,
improvement,1.4963102860527824,1.3267051021762346,2.0264316184865985,0.9040183005230674,
sub-task,1.752899020406773,1.0932087076277819,,0.9336846733267175,
new feature,3.535304847426133,2.034034193161,3.028165269997241,0.6574930793889945,
wish,1.6116155964609469,2.6855050897579282,1.8306051113503876,0.7818260078878728,
