Project,Exis.,Exec.,Exis-Exec.,Prop.,Exis-Prop.,Exec-Prop.,All,Non-Arch.
Apache-TUSCANY,0.56%,1.49%,0.00%,0.15%,0.00%,0.00%,0.00%,97.80%
RedHat-ARQ,1.24%,9.01%,0.00%,0.05%,0.00%,0.00%,0.00%,89.70%
Spring-DATAREST,0.19%,8.95%,0.00%,0.06%,0.00%,0.00%,0.00%,90.80%
Apache-IVY,0.12%,0.80%,0.00%,0.18%,0.06%,0.00%,0.00%,98.83%
RedHat-ENTMQST,0.45%,6.46%,0.00%,0.51%,0.10%,0.00%,0.00%,92.49%
Spring-SWS,0.58%,5.57%,0.00%,0.10%,0.00%,0.00%,0.00%,93.76%
Apache-STANBOL,2.38%,4.82%,0.00%,0.68%,0.00%,0.00%,0.00%,92.12%
Apache-SQOOP,0.70%,2.09%,0.00%,0.22%,0.10%,0.00%,0.00%,96.89%
Apache-OLINGO,0.75%,2.51%,0.00%,0.31%,0.06%,0.06%,0.00%,96.29%
RedHat-FORGE,0.34%,5.77%,0.00%,0.08%,0.00%,0.00%,0.00%,93.82%
Apache-OPENJPA,0.59%,2.48%,0.00%,0.17%,0.10%,0.00%,0.00%,96.66%
RedHat-AS7,0.59%,4.90%,0.00%,0.29%,0.02%,0.00%,0.00%,94.20%
RedHat-TEIID,1.04%,2.30%,0.00%,0.61%,0.14%,0.00%,0.00%,95.91%
Apache-TAPESTRY,0.48%,0.88%,0.00%,0.12%,0.00%,0.00%,0.00%,98.52%
Apache-EAGLE,1.73%,2.64%,0.00%,0.27%,0.09%,0.00%,0.00%,95.26%
Apache-MAPREDUCE,1.03%,0.66%,0.00%,1.32%,0.38%,0.01%,0.00%,96.60%
Apache-JSPWIKI,0.19%,3.60%,0.00%,0.00%,0.00%,0.00%,0.00%,96.22%
Apache-ZOOKEEPER,0.60%,4.33%,0.00%,1.00%,0.16%,0.07%,0.00%,93.85%
Apache-CAMEL,0.69%,6.53%,0.00%,0.21%,0.04%,0.00%,0.00%,92.53%
RedHat-ENTMQ,0.14%,1.96%,0.00%,0.34%,0.00%,0.07%,0.00%,97.50%
RedHat-RHCLOUD,0.58%,1.67%,0.00%,0.28%,0.00%,0.00%,0.00%,97.47%
Apache-LUCENE,0.70%,2.23%,0.00%,1.06%,0.18%,0.03%,0.00%,95.80%
