Project,First Quantile,Mean,Third Quantile,Standard Deviation,Total Issue Count
Jira-JRASERVER,12.00,32.89,45.67,32.36,37548
Apache-DIRMINA,6.00,20.02,25.79,28.39,1051
RedHat-OCPPLAN,4.00,20.76,22.21,39.82,614
Apache-FLINK,5.00,33.20,29.00,214.84,28974
Apache-METRON,29.00,77.72,102.65,79.25,1567
Spring-DATAMONGO,9.00,16.27,20.00,14.03,2590
Apache-LOG4J2,10.00,25.64,30.04,38.42,3277
Apache-BOOKKEEPER,13.71,32.93,43.56,27.73,1062
Apache-STR,7.33,22.22,28.00,49.24,2813
Apache-YARN,26.84,98.18,142.37,106.49,9978
RedHat-MON,6.00,16.87,20.61,21.92,838
Spring-SPR,8.25,21.94,29.00,21.35,17413
RedHat-JBEAP,4.00,13.86,16.67,26.47,16442
Apache-PHOENIX,10.67,40.55,41.30,78.39,6004
Apache-JCR,5.00,17.80,22.92,37.74,4207
Apache-FALCON,5.80,20.27,24.67,26.06,1978
RedHat-WELD,6.00,19.84,25.33,26.85,1689
Apache-BIGTOP,5.00,17.80,22.75,23.91,3362
Apache-SSHD,6.50,27.75,36.46,47.23,1060
RedHat-OSSM,7.00,17.28,20.71,24.26,1459
JiraEcosystem-PLE,8.00,19.01,25.35,16.78,1172
Apache-SCB,6.50,384.99,225.71,4822.33,1197
Apache-SLIDER,13.00,22.28,22.50,29.27,1071
RedHat-RFE,12.00,30.23,32.00,31.40,436
Jira-OPSGENIE,7.00,21.72,26.88,25.98,403
RedHat-QUARKUS,7.70,16.21,20.33,19.47,1313
RedHat-ENTESB,5.00,21.89,18.50,284.80,11486
RedHat-FUSETOOLS,4.00,13.70,14.50,29.10,2953
Apache-RAVE,4.00,12.53,14.67,17.27,780
Apache-HIVE,11.20,59.42,52.57,219.05,22667
Apache-KNOX,13.80,22.25,21.00,25.93,2560
Apache-NETBEANS,5.60,63.60,24.00,1375.04,3671
Apache-SLING,3.00,15.33,20.00,49.31,10207
Spring-STS,11.00,24.71,31.67,82.68,3863
Apache-WW,7.67,34.96,22.60,996.71,4728
Jira-CLOUD,7.00,32.58,42.62,40.09,5194
Apache-AIRAVATA,6.00,47.44,17.75,1335.27,2914
Apache-CALCITE,6.00,21.39,27.51,29.50,4996
Apache-XALANJ,9.67,26.33,32.00,36.00,2425
Apache-CLOUDSTACK,11.33,34.85,34.33,73.08,9076
Spring-DATAREDIS,9.00,13.09,13.75,11.21,1257
RedHat-APIMAN,7.00,24.75,26.50,78.51,555
Apache-DIRSERVER,5.00,19.81,21.89,61.72,2145
JiraEcosystem-ACJIRA,11.00,22.63,28.62,20.88,1425
Apache-GEODE,15.50,111.21,43.50,2114.02,8819
Apache-JUDDI,6.00,15.56,19.49,20.38,938
JiraEcosystem-AMPS,10.00,26.43,35.50,22.07,1006
RedHat-KATA,8.12,25.40,29.00,34.57,743
RedHat-OPECO,5.00,19.10,20.00,45.16,576
Apache-STORM,6.00,32.80,31.50,128.33,2744
RedHat-EJBTHREE,5.00,16.55,20.00,23.07,1160
Apache-DIRSTUDIO,4.50,17.45,21.73,33.84,1177
JiraEcosystem-FRGE,9.00,22.53,29.00,20.46,618
Apache-SYNAPSE,6.33,17.53,23.00,18.04,1057
RedHat-SDN,4.33,22.18,21.00,63.54,837
Apache-OAK,3.50,15.81,17.29,100.89,9261
RedHat-ENTMQBR,8.00,27.01,25.00,78.64,2489
Sonatype-NEXUS,7.00,21.59,23.00,41.91,8799
RedHat-SRVKP,5.00,14.74,18.00,18.81,910
Apache-UIMA,3.00,14.58,18.33,19.31,4447
Apache-CONTINUUM,4.00,16.68,16.60,73.74,2289
Spring-DATAES,9.00,12.45,12.00,9.78,1003
RedHat-HAWKULAR,7.00,20.45,24.00,39.42,876
Jira-CLOV,6.00,21.94,28.00,30.03,817
RedHat-JGRP,7.50,23.61,29.42,39.55,2067
Apache-LENS,9.50,31.01,24.25,298.62,1153
JiraEcosystem-AUI,4.00,17.25,20.00,56.71,2494
Apache-OPENEJB,5.00,17.31,20.00,25.37,1343
Apache-HBASE,16.00,51.53,56.40,93.17,25723
RedHat-DBZ,2.50,19.93,24.00,114.80,5199
RedHat-CLOUD,8.75,19.17,24.00,51.31,1797
Spring-XD,2.00,13.50,16.00,21.48,2114
Spring-DATAJPA,9.00,18.53,20.40,18.60,1687
Apache-APEXMALHAR,4.67,247.41,25.56,8511.54,1493
RedHat-DEVELOPER,6.00,12.27,15.26,11.98,4281
Apache-CXF,8.00,35.62,30.00,603.68,6045
Apache-ASTERIXDB,15.74,41.48,57.00,66.60,2406
Apache-HADOOP,16.00,54.84,57.81,78.84,15258
JiraEcosystem-UPM,7.00,17.79,21.33,19.68,2261
JiraEcosystem-APL,7.00,17.83,19.00,28.66,764
Spring-DATAGRAPH,9.00,14.13,16.00,19.37,1465
RedHat-CNV,5.00,15.96,17.75,30.91,820
Apache-TIKA,13.67,30.87,33.43,108.00,3635
Sonatype-MVNCENTRAL,7.50,14.98,19.00,19.55,1665
Apache-DERBY,14.62,34.15,43.94,34.65,6806
Apache-ATLAS,6.50,18.39,22.00,21.86,3715
Apache-RANGER,4.00,14.49,13.00,70.14,3233
Apache-CMIS,4.83,17.90,21.46,31.39,851
Apache-BEEHIVE,7.00,17.82,21.86,18.26,1157
Jira-CONFSERVER,11.50,25.89,34.00,24.73,36532
Apache-SUREFIRE,5.88,20.85,27.61,25.33,1943
Jira-FE,12.00,40.60,61.00,34.07,3922
Apache-MYFACES,7.00,21.62,27.04,25.25,3346
MongoDB-JAVA,12.67,24.35,26.50,27.48,3953
Spring-INT,4.00,18.30,25.00,24.60,3392
Sonatype-OSSRH,16.25,26.11,33.00,19.12,87459
Apache-ARTEMIS,16.88,31.75,34.90,53.98,3747
JiraEcosystem-AC,7.00,18.34,23.00,20.25,1051
JFrog-HAP,9.00,28.28,31.50,39.97,576
Apache-SHINDIG,3.67,22.25,22.00,44.47,1803
Apache-REEF,3.00,18.09,16.58,76.32,1736
Apache-HAMA,8.00,22.34,26.68,24.11,931
Apache-TAJO,15.00,34.55,37.77,50.18,1915
RedHat-WFLY,6.00,16.68,17.00,34.58,10734
Apache-PDFBOX,11.00,21.03,25.00,33.03,5475
Apache-XERCESJ,8.33,27.41,34.50,58.87,1617
Apache-AXIS,7.00,21.75,26.75,28.33,2441
Apache-TUSCANY,5.50,16.43,19.29,21.84,3694
RedHat-ARQ,2.00,12.29,13.50,26.12,1688
Spring-DATAREST,9.00,20.15,20.00,17.65,1565
Apache-IVY,8.00,23.41,29.00,28.23,1378
RedHat-ENTMQST,4.00,14.12,14.00,41.71,2228
Spring-SWS,6.50,13.59,17.83,10.96,1040
Apache-STANBOL,4.00,18.83,20.50,37.08,1205
Apache-SQOOP,14.00,30.86,31.50,188.38,2582
Apache-OLINGO,4.50,17.18,23.00,30.93,1331
RedHat-FORGE,4.00,14.78,17.00,22.84,1564
Apache-OPENJPA,9.00,27.62,33.33,39.39,2250
RedHat-AS7,4.50,19.43,20.55,66.35,4006
