Project,First Quantile,Mean,Third Quantile,Standard Deviation,Total Issue Count
Apache-TAP5,1.00,3.05,4.00,4.96,2746
Jira-JRASERVER,1.00,3.13,3.00,10.02,48731
Apache-DIRMINA,1.00,4.44,5.00,6.06,1128
RedHat-OCPPLAN,0.00,1.03,1.00,2.29,1355
Apache-FLINK,1.00,5.73,6.00,10.84,31316
Apache-METRON,0.00,6.63,8.00,14.97,2349
Spring-DATAMONGO,1.00,2.71,4.00,2.56,2590
Apache-LOG4J2,1.00,6.14,7.00,8.93,3632
Apache-BOOKKEEPER,4.00,9.77,13.00,10.40,1095
Apache-STR,1.00,3.04,4.00,3.61,3009
Apache-YARN,2.00,12.60,17.00,15.17,11162
RedHat-MON,0.00,2.02,3.00,3.19,1369
Spring-SPR,2.00,3.83,5.00,3.48,17413
RedHat-JBEAP,1.00,2.91,3.00,3.52,18048
Apache-PHOENIX,2.00,7.76,9.00,11.32,6866
Apache-JCR,1.00,3.29,4.00,4.68,4782
Apache-FALCON,1.00,4.41,6.00,5.08,2343
RedHat-WELD,0.00,2.24,3.00,3.57,2615
Apache-BIGTOP,1.00,4.96,6.00,7.19,3899
Apache-SSHD,1.00,3.53,4.00,5.74,1320
RedHat-OSSM,0.00,2.09,3.00,3.19,2240
JiraEcosystem-PLE,1.00,2.40,3.00,3.49,1499
Apache-SCB,0.00,2.91,3.00,7.24,2747
Apache-SLIDER,1.00,3.76,4.00,5.58,1265
RedHat-RFE,0.00,0.46,1.00,1.14,1617
Jira-OPSGENIE,0.00,0.61,1.00,1.44,1284
RedHat-QUARKUS,1.00,3.39,4.00,4.35,1587
RedHat-ENTESB,1.00,2.71,3.00,3.63,14750
RedHat-FUSETOOLS,1.00,2.86,3.00,3.72,3431
Apache-RAVE,0.00,1.79,2.00,2.59,1286
Apache-HIVE,1.00,6.96,10.00,8.83,27005
Apache-KNOX,1.00,2.99,3.00,4.16,2879
Apache-NETBEANS,0.00,2.26,2.00,11.00,6306
Apache-SLING,1.00,2.80,3.00,4.28,11766
Spring-STS,1.00,3.23,4.00,4.05,4407
Apache-WW,1.00,4.20,5.00,5.79,5222
Jira-CLOUD,0.00,1.81,2.00,17.26,7831
Apache-AIRAVATA,1.00,3.23,3.00,8.72,3675
Apache-CALCITE,2.00,5.28,7.00,6.07,5554
Apache-XALANJ,1.00,3.84,5.00,3.78,2635
Apache-CLOUDSTACK,1.00,6.14,6.00,13.99,10344
Spring-DATAREDIS,1.00,2.21,3.00,2.01,1257
RedHat-APIMAN,0.00,1.24,1.00,2.59,1336
Apache-DIRSERVER,1.00,3.61,5.00,4.72,2295
JiraEcosystem-ACJIRA,0.00,2.59,3.00,4.74,2116
Apache-GEODE,1.00,4.53,5.00,8.73,10424
Apache-JUDDI,1.00,2.73,3.00,4.25,1018
JiraEcosystem-AMPS,0.00,1.87,2.00,2.74,1514
RedHat-KATA,0.00,3.00,4.00,5.45,1125
RedHat-OPECO,0.00,0.98,1.00,1.39,1082
Apache-STORM,0.00,5.39,5.00,14.98,3844
RedHat-EJBTHREE,0.00,1.26,2.00,2.10,2190
Apache-DIRSTUDIO,1.00,3.21,4.00,3.43,1290
JiraEcosystem-FRGE,0.00,1.53,2.00,2.59,1155
Apache-SYNAPSE,1.00,3.07,4.00,2.94,1120
RedHat-SDN,0.00,1.37,2.00,2.31,1561
Apache-OAK,2.00,4.15,5.00,4.98,10090
RedHat-ENTMQBR,0.00,1.38,2.00,2.38,4572
Sonatype-NEXUS,1.00,2.50,3.00,3.37,11187
RedHat-SRVKP,0.00,1.62,2.00,2.28,1470
Apache-UIMA,0.00,1.81,2.00,3.29,6479
Apache-CONTINUUM,1.00,2.30,3.00,2.72,2724
Spring-DATAES,1.00,2.30,3.00,2.73,1003
RedHat-HAWKULAR,0.00,2.72,3.00,4.69,1309
Jira-CLOV,0.00,1.50,2.00,2.88,1501
RedHat-JGRP,1.00,3.00,4.00,4.00,2559
Apache-LENS,1.00,5.32,7.00,5.94,1451
