Project,Domain,First Quantile,Mean,Third Quantile,Standard Deviation,Total Issue Count
Apache-JUDDI,soa and middlewares,1.00,1.00,2.00,1.15,1018
JiraEcosystem-AMPS,software development tools,0.00,1.00,2.00,2.28,1514
RedHat-KATA,devops and cloud,1.00,1.00,2.00,1.59,1125
RedHat-OPECO,devops and cloud,1.00,1.00,2.00,1.17,1082
Apache-STORM,data storage & processing,1.00,2.00,3.00,1.84,3844
RedHat-EJBTHREE,soa and middlewares,0.00,0.00,1.00,2.07,2190
Apache-DIRSTUDIO,soa and middlewares,0.00,0.00,2.00,1.36,1290
JiraEcosystem-FRGE,software development tools,3.00,4.00,5.00,5.11,1155
Apache-SYNAPSE,soa and middlewares,0.00,0.00,1.00,1.17,1120
RedHat-SDN,devops and cloud,1.00,1.00,2.00,1.60,1561
Apache-OAK,content management,1.00,1.00,2.00,1.30,10090
RedHat-ENTMQBR,soa and middlewares,1.00,2.00,3.00,2.30,4572
Sonatype-NEXUS,devops and cloud,0.00,2.00,3.00,4.85,11187
RedHat-SRVKP,devops and cloud,1.00,2.00,3.00,1.68,1470
Apache-UIMA,content management,0.00,1.00,1.00,0.75,6479
Apache-CONTINUUM,software development tools,0.00,0.00,1.00,1.03,2724
Spring-DATAES,data storage & processing,1.00,1.00,2.00,2.38,1003
RedHat-HAWKULAR,devops and cloud,1.00,2.00,3.00,1.27,1309
Jira-CLOV,software development tools,0.00,1.00,1.00,1.62,1501
RedHat-JGRP,soa and middlewares,0.00,1.00,2.00,1.16,2559
Apache-LENS,data storage & processing,1.00,3.00,3.00,1.36,1451
JiraEcosystem-AUI,software development tools,1.00,1.00,2.00,1.06,4225
Apache-OPENEJB,soa and middlewares,0.00,0.00,1.00,0.72,2047
Apache-HBASE,data storage & processing,2.00,3.00,6.00,4.11,27458
RedHat-DBZ,data storage & processing,1.00,2.00,3.00,1.78,5800
RedHat-CLOUD,devops and cloud,2.00,2.00,3.00,1.95,2311
Spring-XD,data storage & processing,1.00,1.00,2.00,0.83,3707
Spring-DATAJPA,data storage & processing,1.00,1.00,2.00,3.93,1687
Apache-APEXMALHAR,data storage & processing,0.00,1.00,2.00,1.39,2041
RedHat-DEVELOPER,web development,1.00,2.00,3.00,1.32,5435
Apache-CXF,soa and middlewares,0.00,1.00,2.00,1.25,8717
Apache-ASTERIXDB,data storage & processing,0.00,1.00,2.00,1.13,3119
Apache-HADOOP,data storage & processing,1.00,3.00,5.00,4.91,16366
JiraEcosystem-UPM,devops and cloud,0.00,1.00,2.00,2.10,3767
JiraEcosystem-APL,software development tools,0.00,1.00,2.00,2.95,1270
Spring-DATAGRAPH,data storage & processing,1.00,1.00,2.00,1.25,1465
RedHat-CNV,devops and cloud,0.00,0.00,1.00,1.07,2932
Apache-TIKA,content management,1.00,2.00,3.00,1.86,3975
Sonatype-MVNCENTRAL,devops and cloud,2.00,2.00,2.00,1.48,1668
Apache-DERBY,data storage & processing,0.00,0.00,2.00,1.60,7142
Apache-ATLAS,data storage & processing,1.00,2.00,3.00,1.25,4677
Apache-RANGER,data storage & processing,1.00,2.00,2.00,1.55,4117
Apache-CMIS,content management,0.00,1.00,2.00,1.08,1097
Apache-BEEHIVE,web development,0.00,0.00,0.00,0.23,1231
Jira-CONFSERVER,content management,1.00,2.00,4.00,15.97,45081
Apache-SUREFIRE,software development tools,1.00,2.00,3.00,2.97,2138
Jira-FE,software development tools,0.00,1.00,2.00,6.03,5590
Apache-MYFACES,web development,0.00,0.00,1.00,1.08,4216
MongoDB-JAVA,data storage & processing,1.00,1.00,2.00,1.46,4481
Spring-INT,soa and middlewares,0.00,1.00,2.00,1.30,4494
Sonatype-OSSRH,devops and cloud,1.00,1.00,2.00,0.95,87533
Apache-ARTEMIS,soa and middlewares,2.00,2.00,3.00,1.16,4094
JiraEcosystem-AC,software development tools,1.00,2.00,3.00,5.43,1555
JFrog-HAP,devops and cloud,1.00,1.00,2.00,2.04,1294
Apache-SHINDIG,web development,0.00,0.00,0.00,0.82,1979
Apache-REEF,data storage & processing,1.00,1.00,2.00,0.93,2066
Apache-HAMA,data storage & processing,0.00,1.00,2.00,1.57,1006
Apache-TAJO,data storage & processing,1.00,2.00,3.00,1.26,2183
RedHat-WFLY,web development,1.00,1.00,2.00,1.91,14646
Apache-PDFBOX,content management,2.00,2.00,3.00,1.63,5562
Apache-XERCESJ,content management,0.00,0.00,0.00,1.32,1746
Apache-AXIS,soa and middlewares,0.00,0.00,1.00,0.99,2922
Apache-TUSCANY,soa and middlewares,0.00,0.00,0.00,0.34,4082
RedHat-ARQ,software development tools,0.00,1.00,2.00,3.83,2175
Spring-DATAREST,data storage & processing,1.00,1.00,2.00,2.76,1565
Apache-IVY,software development tools,0.00,0.00,1.00,1.64,1630
RedHat-ENTMQST,soa and middlewares,1.00,1.00,2.00,1.11,3141
Spring-SWS,soa and middlewares,1.00,1.00,2.00,1.79,1041
Apache-STANBOL,content management,0.00,1.00,1.00,0.88,1473
Apache-SQOOP,data storage & processing,1.00,3.00,5.00,2.08,3152
Apache-OLINGO,soa and middlewares,1.00,1.00,2.00,1.16,1592
RedHat-FORGE,software development tools,1.00,1.00,2.00,0.91,2636
Apache-OPENJPA,data storage & processing,0.00,0.00,1.00,1.25,2903
RedHat-AS7,web development,0.00,1.00,2.00,2.15,5427
RedHat-TEIID,data storage & processing,0.00,1.00,2.00,1.40,5775
Apache-TAPESTRY,web development,0.00,0.00,0.00,0.81,2499
Apache-EAGLE,data storage & processing,1.00,2.00,2.00,0.76,1097
Apache-MAPREDUCE,data storage & processing,1.00,3.00,5.00,4.79,7109
Apache-JSPWIKI,content management,0.00,1.00,2.00,1.24,1057
Apache-ZOOKEEPER,devops and cloud,1.00,2.00,4.00,3.76,4485
Apache-CAMEL,soa and middlewares,1.00,1.00,2.00,1.34,19066
RedHat-ENTMQ,soa and middlewares,1.00,2.00,4.00,1.99,1480
RedHat-RHCLOUD,devops and cloud,1.00,2.00,3.00,1.61,3959
Apache-LUCENE,content management,1.00,2.00,3.00,2.55,10630
