Project,Domain,First Quantile,Mean,Third Quantile,Standard Deviation,Total Issue Count
RedHat-JBPAPP,web development,0.00,0.00,0.00,0.46,5933
JiraEcosystem-PLUG,software development tools,0.00,0.00,0.00,1.26,1165
Apache-NUTCH,web development,0.00,0.00,0.00,0.86,2971
Apache-ACCUMULO,data storage & processing,0.00,0.00,0.00,0.28,4745
Apache-COCOON,web development,0.00,0.00,0.00,0.45,2366
RedHat-SB,devops and cloud,0.00,0.00,0.00,0.00,1320
Apache-JS2,web development,0.00,0.00,0.00,0.30,1355
Spring-SWF,web development,0.00,0.00,0.00,3.44,1668
RedHat-JBESB,soa and middlewares,0.00,0.00,0.00,0.38,3890
Apache-MRM,software development tools,0.00,0.00,0.00,1.06,2016
RedHat-JBIDE,software development tools,0.00,0.00,0.00,0.43,27807
RedHat-JBTM,soa and middlewares,0.00,0.00,0.00,0.24,3668
RedHat-JWS,web development,0.00,0.00,0.00,0.11,1042
Apache-ROL,content management,0.00,0.00,0.00,0.54,2137
RedHat-JBAS,web development,0.00,0.00,0.00,0.88,8394
JFrog-RTFACT,devops and cloud,0.00,0.00,1.00,4.14,16298
Apache-IOTDB,data storage & processing,0.00,0.00,0.00,0.07,5625
Jira-BCLOUD,software development tools,0.00,0.00,1.00,26.63,21282
Apache-TAP5,web development,0.00,0.00,0.00,2.07,2746
Jira-JRASERVER,content management,0.00,0.00,2.00,45.05,48731
Apache-DIRMINA,soa and middlewares,0.00,0.00,0.00,0.43,1128
RedHat-OCPPLAN,devops and cloud,0.00,0.00,0.00,0.67,1355
Apache-FLINK,data storage & processing,0.00,0.00,0.00,0.51,31316
Apache-METRON,data storage & processing,0.00,0.00,0.00,0.20,2349
Spring-DATAMONGO,data storage & processing,0.00,0.00,0.00,1.17,2590
Apache-LOG4J2,software development tools,0.00,0.00,0.00,1.06,3632
Apache-BOOKKEEPER,data storage & processing,0.00,0.00,0.00,0.18,1095
Apache-STR,web development,0.00,0.00,0.00,0.84,3009
Apache-YARN,data storage & processing,0.00,0.00,0.00,0.48,11162
RedHat-MON,devops and cloud,0.00,0.00,0.00,0.18,1369
Spring-SPR,web development,0.00,0.00,0.00,2.92,17413
RedHat-JBEAP,web development,0.00,0.00,0.00,0.17,18048
Apache-PHOENIX,data storage & processing,0.00,0.00,0.00,0.42,6866
Apache-JCR,content management,0.00,0.00,0.00,0.72,4782
Apache-FALCON,data storage & processing,0.00,0.00,0.00,0.13,2343
RedHat-WELD,web development,0.00,0.00,0.00,0.61,2615
Apache-BIGTOP,data storage & processing,0.00,0.00,0.00,0.24,3899
Apache-SSHD,soa and middlewares,0.00,0.00,0.00,0.29,1320
RedHat-OSSM,devops and cloud,0.00,0.00,0.00,0.82,2240
JiraEcosystem-PLE,software development tools,0.00,0.00,0.00,0.93,1499
Apache-SCB,devops and cloud,0.00,0.00,0.00,0.04,2747
Apache-SLIDER,data storage & processing,0.00,0.00,0.00,0.16,1265
RedHat-RFE,devops and cloud,0.00,0.00,0.00,2.17,1617
Jira-OPSGENIE,devops and cloud,0.00,1.00,2.00,8.32,1284
RedHat-QUARKUS,devops and cloud,0.00,0.00,0.00,0.41,1587
RedHat-ENTESB,soa and middlewares,0.00,0.00,0.00,0.26,14750
RedHat-FUSETOOLS,software development tools,0.00,0.00,0.00,0.25,3431
Apache-RAVE,web development,0.00,0.00,0.00,0.14,1286
Apache-HIVE,data storage & processing,0.00,0.00,0.00,0.85,27005
Apache-KNOX,soa and middlewares,0.00,0.00,0.00,0.25,2879
Apache-NETBEANS,software development tools,0.00,0.00,0.00,0.89,6306
Apache-SLING,web development,0.00,0.00,0.00,0.22,11766
Spring-STS,software development tools,0.00,0.00,0.00,2.26,4407
Apache-WW,web development,0.00,0.00,0.00,0.75,5222
Jira-CLOUD,devops and cloud,0.00,0.00,0.00,85.57,7831
Apache-AIRAVATA,soa and middlewares,0.00,0.00,0.00,0.07,3675
Apache-CALCITE,data storage & processing,0.00,0.00,0.00,0.32,5554
Apache-XALANJ,content management,0.00,0.00,0.00,1.03,2635
Apache-CLOUDSTACK,devops and cloud,0.00,0.00,0.00,0.35,10344
Spring-DATAREDIS,data storage & processing,0.00,0.00,0.00,0.70,1257
RedHat-APIMAN,soa and middlewares,0.00,0.00,0.00,0.38,1336
Apache-DIRSERVER,soa and middlewares,0.00,0.00,0.00,0.69,2295
JiraEcosystem-ACJIRA,software development tools,0.00,0.00,1.00,4.51,2116
Apache-GEODE,data storage & processing,0.00,0.00,0.00,0.29,10424
Apache-JUDDI,soa and middlewares,0.00,0.00,0.00,0.12,1018
JiraEcosystem-AMPS,software development tools,0.00,0.00,0.00,1.37,1514
RedHat-KATA,devops and cloud,0.00,0.00,0.00,0.04,1125
RedHat-OPECO,devops and cloud,0.00,0.00,0.00,0.00,1082
