Project,Domain,Exis.,Exec.,Exis-Exec.,Prop.,Exis-Prop.,Exec-Prop.,All,Non-Arch.,Total
RedHat-AF,software development tools,44,59,0,6,1,0,0,2602,2712
Jira-CRUC,software development tools,12,94,0,13,0,3,0,6662,6784
RedHat-THORN,web development,9,154,0,0,0,0,0,2304,2467
Apache-KARAF,devops and cloud,19,1949,0,11,0,0,0,5503,7482
Jira-CONFCLOUD,content management,69,109,0,19,1,0,0,26649,26847
Apache-OODT,data storage & processing,30,56,0,6,0,0,0,949,1041
Apache-AXIS2,soa and middlewares,25,75,0,14,4,1,0,5831,5950
Apache-HUDI,data storage & processing,47,195,0,26,6,0,0,5589,5863
Apache-GROOVY,software development tools,7,429,0,6,1,2,0,10271,10716
JiraEcosystem-AG,content management,2,48,0,0,0,0,0,1436,1486
RedHat-ENTMQMAAS,soa and middlewares,13,39,0,3,0,1,0,2201,2257
Apache-DRILL,data storage & processing,96,189,0,62,11,0,0,8009,8367
Apache-HDFS,data storage & processing,242,115,0,204,75,4,0,15465,16105
RedHat-JBDS,software development tools,1,163,0,3,0,0,0,4059,4226
RedHat-JBPAPP,web development,4,401,0,2,1,0,0,5525,5933
JiraEcosystem-PLUG,software development tools,16,54,0,4,2,0,0,1089,1165
Apache-NUTCH,web development,27,172,0,14,0,0,0,2758,2971
Apache-ACCUMULO,data storage & processing,35,75,0,57,18,1,0,4559,4745
Apache-COCOON,web development,7,30,0,7,0,0,0,2322,2366
RedHat-SB,devops and cloud,4,98,0,1,0,0,0,1217,1320
Apache-JS2,web development,21,40,0,11,5,0,0,1278,1355
Spring-SWF,web development,20,44,0,2,1,0,0,1601,1668
RedHat-JBESB,soa and middlewares,35,103,0,16,1,0,0,3735,3890
Apache-MRM,software development tools,8,72,0,6,1,1,0,1928,2016
RedHat-JBIDE,software development tools,32,1051,0,10,4,0,0,26710,27807
RedHat-JBTM,soa and middlewares,27,142,0,14,1,0,0,3484,3668
RedHat-JWS,web development,1,73,0,0,0,1,0,967,1042
Apache-ROL,content management,7,50,0,7,1,0,0,2072,2137
RedHat-JBAS,web development,35,570,0,22,1,0,0,7766,8394
JFrog-RTFACT,devops and cloud,117,219,0,80,13,0,0,15869,16298
Apache-IOTDB,data storage & processing,50,83,0,53,10,2,0,5427,5625
Jira-BCLOUD,software development tools,38,174,0,29,1,0,0,21040,21282
Apache-TAP5,web development,21,74,0,10,0,0,0,2641,2746
Jira-JRASERVER,content management,139,605,0,104,10,6,0,47867,48731
Apache-DIRMINA,soa and middlewares,11,14,0,9,1,0,0,1093,1128
RedHat-OCPPLAN,devops and cloud,36,24,0,10,4,1,0,1280,1355
Apache-FLINK,data storage & processing,291,726,0,193,43,4,0,30059,31316
Apache-METRON,data storage & processing,41,81,0,13,2,0,0,2212,2349
Spring-DATAMONGO,data storage & processing,2,228,0,5,0,0,0,2355,2590
Apache-LOG4J2,software development tools,18,269,0,13,3,2,0,3327,3632
