Project,Exis.,Exec.,Exis-Exec.,Prop.,Exis-Prop.,Exec-Prop.,All,Non-Arch.,Total
Apache-STANBOL,204,155,28,5,18,2,1,1060,1473
Apache-SQOOP,164,211,24,16,21,1,1,2714,3152
Apache-OLINGO,91,130,20,6,8,3,0,1334,1592
RedHat-FORGE,99,258,10,10,0,1,1,2257,2636
Apache-OPENJPA,80,215,17,28,13,1,2,2547,2903
RedHat-AS7,280,438,13,22,34,6,1,4633,5427
RedHat-TEIID,378,361,29,52,72,12,9,4862,5775
Apache-TAPESTRY,121,78,2,8,13,1,0,2276,2499
Apache-EAGLE,95,95,15,3,12,1,3,873,1097
Apache-MAPREDUCE,309,118,13,98,150,9,8,6404,7109
Apache-JSPWIKI,23,112,9,11,2,4,0,896,1057
Apache-ZOOKEEPER,138,361,27,43,65,73,6,3772,4485
Apache-CAMEL,983,2578,262,52,86,36,15,15054,19066
RedHat-ENTMQ,40,53,4,11,4,10,1,1357,1480
RedHat-RHCLOUD,272,260,17,18,25,22,2,3343,3959
Apache-LUCENE,375,700,69,220,157,56,29,9024,10630
