Project,First Quantile,Mean,Third Quantile,Standard Deviation,Total Issue Count
Apache-TAP5,16.00,64.45,61.00,408.59,2746
Jira-JRASERVER,27.00,66.74,77.00,106.42,48731
Apache-DIRMINA,18.00,68.94,83.00,105.66,1128
RedHat-OCPPLAN,13.00,69.69,104.00,98.42,1355
Apache-FLINK,12.00,67.15,59.00,524.21,31316
Apache-METRON,11.00,56.74,51.00,134.73,2349
Spring-DATAMONGO,0.00,50.53,67.75,78.23,2590
Apache-LOG4J2,20.00,85.53,91.00,222.24,3632
Apache-BOOKKEEPER,10.00,36.44,41.00,59.74,1095
Apache-STR,24.00,78.58,88.00,137.10,3009
Apache-YARN,13.00,45.72,52.00,98.91,11162
RedHat-MON,6.00,73.03,60.00,240.18,1369
Spring-SPR,26.00,75.64,92.00,105.31,17413
RedHat-JBEAP,11.00,70.04,73.00,184.86,18048
Apache-PHOENIX,12.00,57.73,65.00,144.38,6866
Apache-JCR,11.00,46.88,56.00,86.58,4782
Apache-FALCON,6.00,38.65,41.00,74.13,2343
RedHat-WELD,6.00,46.85,56.00,88.22,2615
Apache-BIGTOP,7.00,37.50,39.00,74.45,3899
Apache-SSHD,14.00,62.95,68.00,135.81,1320
RedHat-OSSM,11.00,50.41,62.00,73.73,2240
JiraEcosystem-PLE,1.50,29.02,33.50,54.25,1499
Apache-SCB,0.00,16.37,16.00,83.37,2747
Apache-SLIDER,12.00,39.60,42.00,80.09,1265
RedHat-RFE,59.00,101.33,124.00,87.65,1617
Jira-OPSGENIE,31.00,56.66,73.00,35.86,1284
RedHat-QUARKUS,6.00,47.02,47.00,130.14,1587
RedHat-ENTESB,11.00,84.45,66.00,933.99,14750
RedHat-FUSETOOLS,7.00,47.71,42.00,207.56,3431
Apache-RAVE,0.00,18.79,20.00,43.54,1286
Apache-HIVE,11.00,59.59,59.00,242.04,27005
Apache-KNOX,7.00,37.76,40.00,118.03,2879
Apache-NETBEANS,21.00,474.17,81.00,3611.30,6306
Apache-SLING,12.00,37.27,45.75,59.57,11766
Spring-STS,15.00,101.43,61.00,973.72,4407
Apache-WW,13.00,63.06,68.00,251.35,5222
Jira-CLOUD,4.00,36.85,39.00,98.90,7831
Apache-AIRAVATA,9.00,42.83,40.00,159.06,3675
Apache-CALCITE,20.00,70.58,84.00,127.08,5554
Apache-XALANJ,32.00,103.42,117.00,202.65,2635
Apache-CLOUDSTACK,19.00,153.11,123.00,700.59,10344
Spring-DATAREDIS,0.00,40.33,49.00,80.16,1257
RedHat-APIMAN,9.00,40.53,34.00,120.79,1336
Apache-DIRSERVER,16.00,99.01,75.00,1384.58,2295
JiraEcosystem-ACJIRA,17.00,49.21,65.00,53.80,2116
Apache-GEODE,15.00,94.57,68.00,1385.25,10424
Apache-JUDDI,5.00,67.91,41.00,857.84,1018
JiraEcosystem-AMPS,9.00,61.68,61.00,294.32,1514
RedHat-KATA,9.00,55.91,84.00,80.74,1125
RedHat-OPECO,2.00,44.33,50.00,69.42,1082
Apache-STORM,10.00,55.59,57.00,142.65,3844
RedHat-EJBTHREE,6.00,46.20,47.75,127.66,2190
Apache-DIRSTUDIO,16.00,59.17,56.00,276.32,1290
JiraEcosystem-FRGE,25.00,70.91,76.50,97.51,1155
Apache-SYNAPSE,13.00,54.09,65.00,84.94,1120
RedHat-SDN,1.00,45.34,52.00,129.38,1561
Apache-OAK,12.00,37.37,43.75,76.17,10090
RedHat-ENTMQBR,6.00,58.50,57.00,280.68,4572
Sonatype-NEXUS,18.00,89.93,86.00,289.19,11187
RedHat-SRVKP,13.00,49.94,68.00,57.52,1470
Apache-UIMA,10.00,32.39,39.00,48.02,6479
Apache-CONTINUUM,10.00,49.51,51.00,110.27,2724
Spring-DATAES,0.00,34.90,43.00,58.95,1003
RedHat-HAWKULAR,11.00,61.44,39.00,755.75,1309
Jira-CLOV,5.00,42.43,49.00,77.28,1501
RedHat-JGRP,18.50,78.90,86.00,268.91,2559
Apache-LENS,4.00,46.35,36.50,294.25,1451
JiraEcosystem-AUI,5.00,27.13,35.00,49.17,4225
Apache-OPENEJB,0.00,31.13,31.00,167.40,2047
Apache-HBASE,13.00,51.58,58.00,120.65,27458
RedHat-DBZ,15.00,85.32,93.00,190.17,5800
RedHat-CLOUD,4.50,31.50,34.00,76.49,2311
Spring-XD,8.00,31.74,33.00,59.36,3707
Spring-DATAJPA,0.00,62.99,85.00,89.61,1687
Apache-APEXMALHAR,3.00,20.98,20.00,65.74,2041
RedHat-DEVELOPER,8.00,43.18,44.00,574.43,5435
Apache-CXF,17.00,72.82,83.00,266.97,8717
Apache-ASTERIXDB,6.00,47.27,41.00,176.80,3119
Apache-HADOOP,14.00,45.95,51.00,88.95,16366
JiraEcosystem-UPM,0.00,32.93,33.00,241.77,3767
JiraEcosystem-APL,4.00,40.32,45.00,91.95,1270
Spring-DATAGRAPH,0.00,39.96,45.00,78.77,1465
RedHat-CNV,11.00,67.88,87.25,113.76,2932
Apache-TIKA,16.00,49.00,57.00,76.31,3975
Sonatype-MVNCENTRAL,10.00,33.32,37.00,57.99,1668
Apache-DERBY,26.00,88.23,96.00,210.44,7142
Apache-ATLAS,11.00,53.77,54.00,115.52,4677
Apache-RANGER,11.00,40.48,46.00,63.39,4117
Apache-CMIS,14.00,51.73,56.00,117.87,1097
Apache-BEEHIVE,23.00,58.98,72.00,79.66,1231
Jira-CONFSERVER,25.00,69.16,76.00,135.16,45081
Apache-SUREFIRE,21.00,77.67,86.00,251.79,2138
Jira-FE,12.00,51.11,55.00,125.03,5590
Apache-MYFACES,14.00,52.80,68.00,68.04,4216
MongoDB-JAVA,8.00,49.06,58.00,92.10,4481
Spring-INT,4.00,34.32,41.00,78.19,4494
Sonatype-OSSRH,1.00,14.40,16.00,37.04,87533
Apache-ARTEMIS,10.00,66.49,63.00,267.62,4094
JiraEcosystem-AC,11.00,43.45,50.00,82.61,1555
JFrog-HAP,12.00,58.50,72.00,85.85,1294
Apache-SHINDIG,12.00,40.00,46.00,78.20,1979
Apache-REEF,11.00,32.18,39.75,45.83,2066
Apache-HAMA,7.00,32.09,33.00,67.99,1006
Apache-TAJO,13.00,58.35,51.00,431.54,2183
RedHat-WFLY,8.00,62.99,63.00,204.62,14646
Apache-PDFBOX,20.00,74.67,73.00,779.69,5562
Apache-XERCESJ,31.00,103.83,106.00,263.81,1746
Apache-AXIS,35.00,119.88,130.00,228.29,2922
Apache-TUSCANY,16.00,62.76,69.00,112.90,4082
RedHat-ARQ,6.00,40.19,44.00,87.08,2175
Spring-DATAREST,0.00,69.71,87.00,126.44,1565
Apache-IVY,21.00,95.79,83.00,575.50,1630
RedHat-ENTMQST,2.00,146.67,34.00,4023.81,3141
Spring-SWS,13.00,52.82,67.00,65.73,1041
Apache-STANBOL,14.00,49.10,57.00,71.04,1473
Apache-SQOOP,8.00,46.24,47.00,102.05,3152
Apache-OLINGO,15.00,48.31,59.00,84.26,1592
RedHat-FORGE,7.00,49.31,47.00,187.46,2636
Apache-OPENJPA,20.50,82.94,103.00,121.30,2903
RedHat-AS7,8.00,68.06,60.00,270.48,5427
RedHat-TEIID,14.00,54.59,54.00,116.61,5775
Apache-TAPESTRY,17.00,57.64,65.00,102.29,2499
Apache-EAGLE,7.00,35.82,38.00,69.48,1097
Apache-MAPREDUCE,13.00,43.74,50.00,77.90,7109
Apache-JSPWIKI,17.00,51.06,61.00,61.79,1057
Apache-ZOOKEEPER,15.00,89.67,70.00,622.20,4485
Apache-CAMEL,10.00,45.06,48.00,103.22,19066
RedHat-ENTMQ,15.00,86.46,85.25,197.07,1480
RedHat-RHCLOUD,6.00,32.91,38.00,48.74,3959
Apache-LUCENE,19.00,64.20,72.00,137.21,10630
