values
,existence,executive,existence-executive,property,existence-property,executive-property,existence-executive-property,
Independent,1119,15106,0,558,87,41,0,182950
Parent,63,101,0,11,3,0,0,1757
Child,48,142,0,11,1,0,0,9761

stats
,existence,executive,existence-executive,property,existence-property,executive-property,existence-executive-property,
Independent,26.418597747466258,507.37660888649,null,3.3179540562633414,0.07789496245033872,null,null,414.8214408011885
Parent,237.32274370762718,11.652182463634656,null,5.163395253949251,3.380081352372051,null,null,2.644576763633598
Child,1.6013403003360422,526.3968091146631,null,9.61200870492829,1.8969901413311356,null,null,524.4038678065434

pvals
,existence,executive,existence-executive,property,existence-property,executive-property,existence-executive-property,
Independent,0,0,2,0.06852705952834555,0.780170623132205,2,2,0
Parent,0,0,2,0.023067759805677816,0.06598879779642412,2,2,0.1039038257838575
Child,0.20571337402574333,0,2,0.0019330908010551772,0.1684156052438509,2,2,0

expected
,existence,executive,existence-executive,property,existence-property,executive-property,existence-executive-property,
Independent,1160.8905878852847,14486.593197927834,null,547.4118219296464,85.88702723378935,null,null,183541.52101209393
Parent,11.239427840139026,140.25526660023894,null,5.299892802667183,0.831534905246058,null,null,1776.9992302570374
Child,57.86998427457629,722.151535471928,null,27.28828526768638,4.281437860964587,null,null,9149.479757649025

value/expected
,existence,executive,existence-executive,property,existence-property,executive-property,existence-executive-property,
Independent,0.9639151283312634,1.0427572441366522,,,,,,0.9967771814855182,
Parent,5.605267536396294,0.7201155610639147,,2.075513677269892,,,,,
Child,,0.196634630025681,,0.4031033790542248,,,,1.066836613506876,
