values
,existence,executive,property,nonarch
Independent,936,5563,567,129019
Parent,53,159,15,1860
Child,52,470,9,7322

stats
,existence,executive,property,nonarch
Independent,17.257953809498442,113.92406105657555,6.626309511545597,107.69267627312662
Parent,97.20655865340245,58.665448797103274,4.419028987965423,126.06952766630631
Child,0.23070488700223588,61.75535271734183,16.577638951935146,31.959103321272764

pvals
,existence,executive,property,nonarch
Independent,0,0,0.010048323995666365,0
Parent,0,0,0.03554025548709538,0
Child,0.6310016572991323,0,0,0

expected
,existence,executive,property,nonarch
Independent,970.138572162301,5770.507241910632,550.7703133025167,128793.58387262456
Parent,14.878048279404211,88.49651771956857,8.446615305598357,1975.1788186954288
Child,55.983379558294814,332.9962403697997,31.783071391884953,7432.237308680021

value/expected
,existence,executive,property,nonarch
Independent,0.9648106227894733,0.9640400344005243,1.0294672503319346,1.0017502123987665,
Parent,3.5622952019431393,1.7966808649335309,1.775859259277276,0.9416868905208783,
Child,,1.4114273466813156,0.283169612182224,0.9851676818027223,
