values
,existence,executive,property,nonarch
Independent,1010,4021,739,233368
Child,55,100,23,3812
Parent,32,42,20,733

stats
,existence,executive,property,nonarch
Independent,198.89360303952958,44.398471081285635,48.52966636209753,203.10614124607307
Child,76.07031618713495,14.988658376438769,7.5184161161627046,65.30412036014617
Parent,209.18558484379355,54.25680000707569,107.7995879601447,267.8226671141434

pvals
,existence,executive,property,nonarch
Independent,0,0,0,0
Child,0,0,0.0061071355167967014,0
Parent,0,0,0,0

expected
,existence,executive,property,nonarch
Independent,1075.3392469922733,4080.799713061835,766.5590621221127,233215.30197782378
Child,17.941956508372446,68.087844069603,12.789981758930951,3891.1802176630936
Parent,3.718796499354389,14.112442868561825,2.650956118956365,806.5178045131274

value/expected
,existence,executive,property,nonarch
Independent,0.939238480158678,0.9853460798699755,0.9640483512831755,1.000654751300113,
Child,3.0654404927542194,1.4686909442715606,1.79828247088309,0.9796513619945759,
Parent,8.60493442046518,2.9760970790934476,7.544447777533809,0.9088454041538387,
