values
,existence,executive,property,nonarch
Independent,20723,26953,8400,310060
Child,5745,4105,1256,40041
Parent,1750,1546,808,4053

stats
,existence,executive,property,nonarch
Independent,4012.2593653632107,338.50602282268574,298.8135780941285,3905.2207198972624
Child,1985.3276351072118,10.725290315221752,0.002075665260739163,1024.1847301435744
Parent,2947.600995674816,1496.257999134583,1918.7942120162265,6711.511893306622

pvals
,existence,executive,property,nonarch
Independent,0,0,0,0
Child,0,0.001056810868759384,0.9636613742627608,0
Parent,0,0,0,0

expected
,existence,executive,property,nonarch
Independent,24284.565738999623,28059.18142158706,9005.375855584807,304786.8769838285
Child,3392.407968221136,3919.69910680707,1257.996916133885,42576.89600883791
Parent,541.0262927792403,625.1194716058669,200.62722828130876,6790.227007333584

value/expected
,existence,executive,property,nonarch
Independent,0.8533403571108561,0.9605768463104191,0.9327761700019023,1.0173010172496741,
Child,1.6934873558301669,1.0472742647187205,,0.9404396222704557,
Parent,3.2345932598031197,2.4731272504254056,4.027369599439742,0.5968872610035978,
