values
,existence,executive,existence-executive,property,existence-property,executive-property,existence-executive-property,
Independent,867,5545,0,480,69,18,0,129019
Parent,49,159,0,11,4,0,0,1860
Child,51,470,0,8,1,0,0,7322

stats
,existence,executive,existence-executive,property,existence-property,executive-property,existence-executive-property,
Independent,18.59890349237237,115.5281926646454,null,6.637760852852569,0.0,null,null,110.05335270550475
Parent,89.07617749852096,59.53106477902581,null,1.6303069880449519,5.738644725988475,null,null,122.05291216832245
Child,0.005742397212077746,62.62836763892551,null,13.298489511253239,1.635489370805333,null,null,34.54216549556072

pvals
,existence,executive,existence-executive,property,existence-property,executive-property,existence-executive-property,
Independent,0,0,2,0.009983934401921949,1.0,2,2,0
Parent,0,0,2,0.2016605930535455,0.01659559308090242,2,2,0
Child,0.9395952366691687,0,2,0,0.20094546951710068,2,2,0

expected
,existence,executive,existence-executive,property,existence-property,executive-property,existence-executive-property,
Independent,901.1674261476157,5753.679099312698,null,465.028485674933,68.96214016021051,null,null,128792.38827407098
Parent,13.80264230845662,88.12566040580266,null,7.122563094022599,1.0562518415985418,null,null,1972.6359562264875
Child,52.029931543927695,332.195240281499,null,26.848951231044385,3.9816079981909507,null,null,7435.975769702534

value/expected
,existence,executive,existence-executive,property,existence-property,executive-property,existence-executive-property,
Independent,0.9620853737538234,0.9637311890860188,,1.032194832760272,,,,1.001759511792318,
Parent,3.5500449048062785,1.804241798221243,,,3.786975645833063,,,0.9429007892353579,
Child,,1.4148306267173683,,0.29796322139949794,,,,0.9846723855439494,
