values
,existence,executive,existence-executive,property,existence-property,executive-property,existence-executive-property,
Independent,664,7493,0,319,36,13,0,143751
Child,42,613,0,8,1,0,0,6894
Parent,32,132,0,19,2,0,0,1365

stats
,existence,executive,existence-executive,property,existence-property,executive-property,existence-executive-property,
Independent,25.93040696918529,187.75494993066923,null,2.644504674671141,0.043047160134936285,null,null,217.05318829659404
Child,1.4677367472719776,147.26517060348024,null,3.851004584354633,0.06123421821853843,null,null,127.86557006202257
Parent,85.28227045935085,36.89468152527519,null,70.13592442945503,3.4150378983683893,null,null,106.25619931763555

pvals
,existence,executive,existence-executive,property,existence-property,executive-property,existence-executive-property,
Independent,0,0,2,0.10390853934332722,0.835636497698827,2,2,0
Child,0.22570312374236828,0,2,0.04971620474505894,0.8045557363482868,2,2,0
Parent,0,0,2,0,0.06460493014829928,2,2,0

expected
,existence,executive,existence-executive,property,existence-property,executive-property,existence-executive-property,
Independent,696.3496257373718,7773.0734645318,null,326.4728597630496,36.798963961731026,null,null,143431.03876468548
Child,34.56231100976553,385.80530907648836,null,16.20401031081148,1.8264635899469588,null,null,7118.9930848163385
Parent,7.088063252862737,79.12122639171169,null,3.3231299261388987,0.3745724483220146,null,null,1459.9681504981907

value/expected
,existence,executive,existence-executive,property,existence-property,executive-property,existence-executive-property,
Independent,0.9535439891949157,0.963968761415962,,,,,,1.0022307670506343,
Child,,1.588884304022029,,0.4937049438102566,,,,0.9683953780912904,
Parent,4.514632397936883,1.6683260108544982,,5.717501398471005,,,,0.9349519025700771,
