values
,existence,executive,existence-executive,property,existence-property,executive-property,existence-executive-property,
Independent,5978,14239,756,768,976,395,102,112784
Child,447,1062,48,24,36,5,3,6227
Parent,214,424,52,19,28,6,5,1335

stats
,existence,executive,existence-executive,property,existence-property,executive-property,existence-executive-property,
Independent,108.15086036100492,193.43424740775725,31.476947918775902,2.680924122479583,0.606296486475001,10.14158086200037,1.827617256837218e-05,297.0017246632995
Child,24.709852367010186,64.95952833495618,0.04802792897529719,8.918808787621328,7.201949942589019,12.961301150502244,1.0453411066309954,57.15074790455002
Parent,158.12446025055593,200.69756004549768,128.87551013417584,4.22501030534253,11.02379171721847,0.0,5.550691172792585,492.2349194021424

pvals
,existence,executive,existence-executive,property,existence-property,executive-property,existence-executive-property,
Independent,0,0,0,0.10155677885006512,0.43618566580096285,0.0014496179109126435,0.9965890027939609,0
Child,0,0,0.8265310587627979,0.0028224854994163204,0.007282441022794517,0,0.30658251711958784,0
Parent,0,0,0,0.039832377358779834,0,1.0,0.01847339079914038,0

expected
,existence,executive,existence-executive,property,existence-property,executive-property,existence-executive-property,
Independent,6187.022277346454,14654.454784044732,797.7242159072999,755.7877793233881,969.1976454948503,378.35985006818197,102.51128942733995,112152.94215838776
Child,357.21480405391515,846.091699615577,46.05751954664127,43.636271439633255,55.957734028629574,21.84503847656116,5.918606483797359,6475.278326355246
Parent,94.76291859963133,224.45351633969014,12.218264546058808,11.575949236978614,14.844620476520047,5.7951114552568646,1.5701040888626974,1717.7795152570015

value/expected
,existence,executive,existence-executive,property,existence-property,executive-property,existence-executive-property,
Independent,0.9662160134590462,0.9716499323811716,0.9476959391788746,,,1.043979692688903,,1.005626761362364,
Child,1.251347914272146,1.2551830971542697,,0.5500011620654112,0.643342705435166,0.22888492530534094,,0.9616575050766977,
Parent,2.258267296558683,1.8890325574508455,4.255923564592765,1.6413340807772152,1.8862051774437756,,3.184502247632348,0.777166096197315,
