,existence-full,executive-full,existence-executive-full,property-full,existence-property-full,executive-property-full,existence-executive-property-full,-full,
existence-full,,Greater (0.9997410539670115),,Less (0.0004809449197158537),Equal (0.5477741201222901),Less (0.003813457934176906),,Greater (0.9999999997116957),
executive-full,,,,Less (1.0400464693595111e-12),Equal (0.055379612908841545),Less (0.0003746839489757561),,Greater (0.9999999972832229),
existence-executive-full,,,,,,,,,
property-full,,,,,Equal (0.3027989613989106),Equal (0.08033359197517714),,Greater (1.0),
existence-property-full,,,,,,Less (0.01782667808983309),,Greater (0.9974212363777819),
executive-property-full,,,,,,,,Greater (0.9999287628408582),
existence-executive-property-full,,,,,,,,,
-full,,,,,,,,,
