,existence-full,executive-full,existence-executive-full,property-full,existence-property-full,executive-property-full,existence-executive-property-full,-full,
existence-full,,Less (7.205097011519935e-33),Less (9.675594709890304e-149),Less (6.394792831491072e-55),Less (5.710858195513797e-72),Less (3.7624999569448464e-06),Less (9.317131760241297e-28),Less (6.8456250279002764e-43),
executive-full,,,Less (4.604547870331636e-130),Less (1.5923046312432315e-36),Less (1.439725398633164e-50),Equal (0.19213668960753438),Less (1.7745020848289745e-24),Equal (0.5584460601600284),
existence-executive-full,,,,Greater (0.9999999999752028),Greater (0.999999955821429),Greater (1.0),Equal (0.07519955396441784),Greater (1.0),
property-full,,,,,Equal (0.26358108643927725),Greater (0.9999999930959877),Less (3.855047833302931e-06),Greater (1.0),
existence-property-full,,,,,,Greater (0.9999999999087978),Less (9.093935266132108e-05),Greater (1.0),
executive-property-full,,,,,,,Less (1.1969554257396181e-14),Equal (0.19434525262053182),
existence-executive-property-full,,,,,,,,Greater (1.0),
-full,,,,,,,,,
