,existence-full,existence-content management,existence-data storage & processing,existence-devops and cloud,existence-soa and middlewares,existence-software development tools,existence-web development,executive-full,executive-content management,executive-data storage & processing,executive-devops and cloud,executive-soa and middlewares,executive-software development tools,executive-web development,property-full,property-content management,property-data storage & processing,property-devops and cloud,property-soa and middlewares,property-software development tools,property-web development,nonarch-full,nonarch-content management,nonarch-data storage & processing,nonarch-devops and cloud,nonarch-soa and middlewares,nonarch-software development tools,nonarch-web development,
executive-soa and middlewares,,,,,,,,,,,,,Less (2.4049234582135587e-23),Less (4.713026661551723e-16),Less (0.0),Less (7.818291079999986e-148),Less (0.0),Less (2.6517255642520275e-07),Less (2.050436393468845e-28),Less (0.0015973871684913322),Less (2.5248610861365058e-40),Less (0.0),Less (2.311996592724316e-235),Less (0.0),Less (3.553301192611175e-204),Less (3.422761417836768e-123),Less (3.5477568437494456e-173),Less (0.0),
executive-software development tools,,,,,,,,,,,,,,Greater (0.9907504199276006),Less (1.4757594797635718e-231),Less (1.85297359790784e-89),Less (0.0),Equal (0.5397876474496701),Less (1.7075587666253913e-09),Equal (0.2087308343544757),Less (6.6764777496322925e-18),Less (4.241673221414878e-191),Less (7.765924466235018e-71),Less (0.0),Less (1.0050498377334398e-57),Less (6.036761115426929e-21),Less (6.599456361387909e-42),Less (1.1245063695255713e-139),
executive-web development,,,,,,,,,,,,,,,Less (4.876790591939835e-305),Less (4.0025431117183915e-110),Less (0.0),Equal (0.2740095300395371),Less (4.2047741534411136e-14),Equal (0.7370077293157162),Less (5.469851565058216e-24),Less (7.690933359933063e-287),Less (5.902907235258663e-114),Less (0.0),Less (2.1866370677391183e-104),Less (6.3942341213370525e-43),Less (1.6687101822490358e-74),Less (1.297854447026102e-211),
property-full,,,,,,,,,,,,,,,,Equal (0.13787856477335161),Less (5.031104708029355e-90),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.999999999994093),Greater (1.0),Greater (1.0),Less (9.758087280254581e-32),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
property-content management,,,,,,,,,,,,,,,,,Less (6.760217161442256e-29),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999999917196),Greater (1.0),Greater (1.0),Less (0.0009142069200809917),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
property-data storage & processing,,,,,,,,,,,,,,,,,,Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
property-devops and cloud,,,,,,,,,,,,,,,,,,,Less (1.1415934708898763e-06),Equal (0.48816109123890594),Less (2.0740978688768995e-12),Less (1.7358480223478897e-40),Less (2.1762279837099367e-17),Less (2.447926271974464e-143),Less (5.635355123664615e-13),Less (2.0006260559264738e-05),Less (4.2819298503869914e-10),Less (7.96069066266044e-29),
property-soa and middlewares,,,,,,,,,,,,,,,,,,,,Greater (0.9999998378830317),Less (0.008743945371463845),Less (1.2116715390624776e-07),Equal (0.7123703502454403),Less (8.44708377883759e-60),Equal (0.8494410849068738),Greater (0.998583324760826),Equal (0.20701475676144288),Less (0.000767733286462682),
property-software development tools,,,,,,,,,,,,,,,,,,,,,Less (3.0419789296202333e-13),Less (2.96688330547336e-28),Less (1.47439151017792e-13),Less (5.462974648079042e-84),Less (4.051305837624364e-12),Less (1.8663179655559159e-06),Less (1.0131126259259274e-09),Less (6.1556902349328296e-24),
property-web development,,,,,,,,,,,,,,,,,,,,,,Equal (0.1367938300548425),Greater (0.9987776721810905),Less (1.9044532336638263e-32),Greater (0.9985450303985112),Greater (0.9999999990748324),Greater (0.999995546028094),Equal (0.6499123220227883),
nonarch-full,,,,,,,,,,,,,,,,,,,,,,,Greater (1.0),Less (0.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
nonarch-content management,,,,,,,,,,,,,,,,,,,,,,,,Less (0.0),Equal (0.768179181405161),Greater (1.0),Greater (1.0),Less (1.7181736065878819e-87),
nonarch-data storage & processing,,,,,,,,,,,,,,,,,,,,,,,,,Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
nonarch-devops and cloud,,,,,,,,,,,,,,,,,,,,,,,,,,Greater (1.0),Greater (1.0),Less (2.2905970530943573e-48),
nonarch-soa and middlewares,,,,,,,,,,,,,,,,,,,,,,,,,,,Less (1.025932444042884e-20),Less (3.81572659068876e-261),
nonarch-software development tools,,,,,,,,,,,,,,,,,,,,,,,,,,,,Less (5.903107202317956e-152),
nonarch-web development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
