,existence-full,executive-full,existence-executive-full,property-full,existence-property-full,executive-property-full,existence-executive-property-full,-full,
existence-full,,Greater (0.9999999999723979),Less (0.004044107421196297),Less (7.050866584027614e-06),Less (1.733806161594586e-06),Less (3.469548650987662e-45),Less (0.007282237282086184),Greater (1.0),
executive-full,,,Less (6.053005660999298e-09),Less (2.5550844521626882e-14),Less (1.1238157031733113e-16),Less (1.2598721611421838e-63),Less (0.00015174178137021142),Greater (1.0),
existence-executive-full,,,,Equal (0.20989259062306298),Equal (0.21017026509856884),Less (5.983450770316143e-22),Equal (0.18461737911080178),Greater (1.0),
property-full,,,,,Equal (0.9529817725211119),Less (7.249787249527265e-18),Equal (0.47566708483559683),Greater (1.0),
existence-property-full,,,,,,Less (2.0775917399709728e-19),Equal (0.4551427414262955),Greater (1.0),
executive-property-full,,,,,,,Greater (0.9999606490796327),Greater (1.0),
existence-executive-property-full,,,,,,,,Greater (0.9999996857918019),
-full,,,,,,,,,
